pair,pinbar_thresh,bb_sigma,sl_atr,tp_atr,train_pf,train_wr,train_trades,train_dd,test_pf,test_wr,test_trades,test_dd,all_pf,all_wr,all_trades,all_dd
EURUSD,0.5000,2.0000,1.5000,2.0000,0.5645,0.2604,96,0.0168,0.5717,0.2969,64,0.0091,0.5669,0.2750,160,0.0262
EURUSD,0.5000,2.0000,1.0000,2.5000,0.4555,0.1250,96,0.0174,0.5291,0.1719,64,0.0079,0.4802,0.1437,160,0.0248
EURUSD,0.5000,2.0000,1.5000,3.0000,0.6818,0.2188,96,0.0156,0.4835,0.2031,64,0.0116,0.6107,0.2125,160,0.0260
EURUSD,0.6000,1.5000,1.5000,2.0000,0.4600,0.2377,223,0.0421,0.7247,0.3200,150,0.0174,0.5568,0.2708,373,0.0566
EURUSD,0.6000,1.5000,1.0000,2.5000,0.4067,0.1256,223,0.0380,0.8186,0.2133,150,0.0111,0.5576,0.1609,373,0.0435
EURUSD,0.6000,1.5000,1.5000,3.0000,0.5554,0.2018,223,0.0383,0.8017,0.2533,150,0.0164,0.6474,0.2225,373,0.0474
EURUSD,0.6000,1.8000,1.5000,2.0000,0.4629,0.2478,113,0.0230,0.9193,0.3684,76,0.0070,0.6140,0.2963,189,0.0274
EURUSD,0.6000,1.8000,1.0000,2.5000,0.4851,0.1504,113,0.0190,0.9320,0.2368,76,0.0064,0.6420,0.1852,189,0.0205
EURUSD,0.6000,1.8000,1.5000,3.0000,0.5836,0.2212,113,0.0207,0.8848,0.2632,76,0.0085,0.6902,0.2381,189,0.0238
EURUSD,0.6000,2.0000,1.5000,2.0000,0.5643,0.2429,70,0.0156,0.7363,0.3404,47,0.0038,0.6190,0.2821,117,0.0166
EURUSD,0.6000,2.0000,1.0000,2.5000,0.5915,0.1429,70,0.0140,0.7015,0.2128,47,0.0038,0.6278,0.1709,117,0.0140
EURUSD,0.6000,2.0000,1.5000,3.0000,0.6237,0.1857,70,0.0169,0.6245,0.2340,47,0.0056,0.6240,0.2051,117,0.0184
EURUSD,0.7000,1.5000,1.5000,2.0000,0.4598,0.2328,189,0.0319,0.7114,0.3175,126,0.0152,0.5536,0.2667,315,0.0460
EURUSD,0.7000,1.5000,1.0000,2.5000,0.4539,0.1323,189,0.0251,0.7879,0.2143,126,0.0095,0.5803,0.1651,315,0.0334
EURUSD,0.7000,1.5000,1.5000,3.0000,0.5831,0.2011,189,0.0259,0.7697,0.2460,126,0.0133,0.6548,0.2190,315,0.0364
EURUSD,0.7000,1.8000,1.5000,2.0000,0.5274,0.2500,92,0.0180,0.9760,0.3871,62,0.0033,0.6695,0.3052,154,0.0195
EURUSD,0.7000,1.8000,1.0000,2.5000,0.6486,0.1630,92,0.0127,0.9246,0.2581,62,0.0036,0.7448,0.2013,154,0.0130
EURUSD,0.7000,1.8000,1.5000,3.0000,0.7034,0.2283,92,0.0149,0.8749,0.2742,62,0.0048,0.7629,0.2468,154,0.0157
EURUSD,0.7000,2.0000,1.5000,2.0000,0.4300,0.1818,55,0.0139,0.8312,0.3684,38,0.0032,0.5557,0.2581,93,0.0164
EURUSD,0.7000,2.0000,1.0000,2.5000,0.5775,0.1273,55,0.0103,0.7592,0.2368,38,0.0039,0.6403,0.1720,93,0.0114
EURUSD,0.7000,2.0000,1.5000,3.0000,0.5316,0.1455,55,0.0145,0.6074,0.2368,38,0.0061,0.5583,0.1828,93,0.0178
GBPUSD,0.4000,1.5000,1.5000,2.0000,0.6475,0.2974,464,0.0726,0.7340,0.3387,310,0.0312,0.6794,0.3140,774,0.0975
GBPUSD,0.4000,1.5000,1.0000,2.5000,0.6649,0.1853,464,0.0551,0.6784,0.1968,310,0.0327,0.6700,0.1899,774,0.0809
GBPUSD,0.4000,1.5000,1.5000,3.0000,0.6803,0.2414,464,0.0764,0.7942,0.2710,310,0.0343,0.7224,0.2532,774,0.0974
GBPUSD,0.4000,1.8000,1.5000,2.0000,0.5563,0.2664,244,0.0513,0.5780,0.2866,164,0.0286,0.5643,0.2745,408,0.0750
GBPUSD,0.4000,1.8000,1.0000,2.5000,0.6089,0.1680,244,0.0341,0.6193,0.1890,164,0.0225,0.6127,0.1765,408,0.0520
GBPUSD,0.4000,1.8000,1.5000,3.0000,0.5969,0.2131,244,0.0531,0.6761,0.2439,164,0.0266,0.6258,0.2255,408,0.0720
GBPUSD,0.4000,2.0000,1.5000,2.0000,0.6268,0.2867,143,0.0287,0.7914,0.3333,96,0.0092,0.6806,0.3054,239,0.0308
GBPUSD,0.4000,2.0000,1.0000,2.5000,0.7380,0.1888,143,0.0192,0.7246,0.2083,96,0.0065,0.7334,0.1967,239,0.0194
GBPUSD,0.4000,2.0000,1.5000,3.0000,0.7613,0.2448,143,0.0258,0.9599,0.3021,96,0.0074,0.8255,0.2678,239,0.0258
GBPUSD,0.5000,1.5000,1.5000,2.0000,0.6742,0.3174,334,0.0430,0.7337,0.3348,224,0.0283,0.6968,0.3244,558,0.0648
