pair,dc_period,tp_atr_mult,sl_atr_mult,adx_threshold,use_200ma,use_chop,total_trades,win_rate,profit_factor,max_drawdown_pct,avg_hold_hours
EURJPY,60,2.0,1.0,30,False,True,128,34.38,1.1,29.92,6.3
GBPJPY,20,2.0,1.0,30,True,True,149,34.9,1.099,53.25,5.7
EURJPY,60,3.0,1.5,25,True,False,159,37.74,1.099,55.84,12.2
EURJPY,60,4.0,1.0,25,False,False,170,21.18,1.098,50.24,10.4
EURJPY,40,3.0,1.0,25,True,True,167,26.95,1.098,54.94,8.6
EURJPY,20,2.0,1.5,30,True,False,146,45.21,1.097,20.79,8.4
EURJPY,60,3.0,1.5,30,False,True,106,37.74,1.097,41.6,13.1
GBPUSD,60,4.0,1.5,25,True,False,186,30.65,1.096,30.21,12.9
GBPUSD,20,4.0,1.5,25,True,True,196,32.14,1.096,30.06,13.6
EURJPY,60,4.0,2.0,25,True,True,126,36.51,1.094,61.92,22.0
EURJPY,40,3.0,2.0,30,False,True,109,43.12,1.093,39.15,16.4
GBPUSD,20,3.0,1.0,25,False,False,324,28.4,1.092,32.62,7.4
EURJPY,40,4.0,1.0,20,False,False,293,21.5,1.091,50.4,9.3
GBPJPY,60,4.0,1.0,30,True,False,128,22.66,1.091,57.33,10.1
GBPJPY,40,4.0,1.5,30,True,False,118,29.66,1.091,84.11,14.7
EURJPY,40,3.0,1.5,25,True,True,150,36.67,1.091,46.26,12.9
EURJPY,40,2.0,1.5,30,True,False,137,45.26,1.09,22.84,8.3
GBPJPY,40,4.0,1.0,30,True,True,120,22.5,1.09,64.52,9.8
EURJPY,20,2.0,2.0,25,False,True,207,52.17,1.09,40.48,10.9
GBPUSD,20,4.0,1.0,25,False,True,267,24.34,1.089,26.14,10.0
EURJPY,20,4.0,2.0,20,True,True,216,37.96,1.089,53.69,20.1
GBPUSD,60,4.0,2.0,30,True,True,129,37.21,1.088,28.11,16.7
EURJPY,60,3.0,1.0,25,True,True,154,27.27,1.086,63.39,8.4
GBPJPY,60,4.0,1.5,25,True,False,155,30.97,1.085,68.05,14.1
USDJPY,40,2.0,1.5,25,False,False,240,43.75,1.085,42.02,8.2
EURJPY,40,2.0,1.0,25,True,False,216,34.26,1.085,45.87,5.9
GBPJPY,60,4.0,1.0,25,True,False,173,23.7,1.084,81.84,10.2
GBPJPY,20,4.0,1.0,30,False,False,169,23.08,1.084,70.6,10.9
EURJPY,40,2.0,2.0,30,True,False,128,51.56,1.084,36.44,10.7
GBPUSD,60,4.0,2.0,25,True,True,163,36.81,1.084,31.7,17.2
EURJPY,40,4.0,2.0,20,True,True,192,37.5,1.084,57.12,20.5
EURJPY,60,3.0,1.5,30,True,True,105,37.14,1.083,44.27,12.9
EURJPY,40,3.0,1.5,30,True,False,121,36.36,1.083,35.18,12.8
EURJPY,40,3.0,2.0,25,False,False,177,42.94,1.082,56.24,16.4
GBPUSD,40,3.0,1.0,25,True,True,225,28.44,1.082,31.1,7.7
EURJPY,60,2.0,1.5,25,True,False,181,45.3,1.082,52.85,7.9
GBPUSD,60,4.0,2.0,30,False,False,138,37.68,1.082,30.44,16.2
EURJPY,20,3.0,1.5,30,False,False,150,36.0,1.082,30.72,13.1
EURJPY,60,2.0,2.0,30,False,False,129,51.94,1.081,44.88,10.0
GBPUSD,20,4.0,1.5,25,True,False,212,31.6,1.081,35.11,13.4
EURJPY,40,4.0,2.0,25,False,True,144,36.11,1.081,44.65,21.5
EURJPY,20,3.0,2.0,25,True,False,171,42.69,1.081,60.97,16.4
EURJPY,40,4.0,1.5,30,True,False,113,29.2,1.08,40.66,15.3
EURJPY,40,2.0,1.0,30,False,False,156,34.62,1.08,38.14,6.1
EURJPY,40,4.0,1.0,25,True,False,180,20.56,1.08,50.93,10.8
GBPJPY,40,4.0,1.0,25,False,False,200,23.5,1.079,93.55,10.8
EURJPY,40,4.0,1.5,20,False,True,222,29.28,1.078,45.03,15.4
EURJPY,20,3.0,2.0,30,True,True,109,42.2,1.078,36.85,16.9
EURJPY,40,2.0,1.5,25,True,False,198,44.44,1.078,44.67,8.2
EURJPY,20,4.0,2.0,30,True,False,112,34.82,1.077,40.09,20.1
EURJPY,20,2.0,2.0,30,False,True,137,51.82,1.077,26.42,10.4
EURJPY,60,2.0,1.5,20,False,True,228,44.74,1.077,32.43,8.3
EURJPY,60,4.0,1.0,25,False,True,149,20.81,1.076,58.32,10.7
USDJPY,40,3.0,1.5,20,False,True,264,33.71,1.076,30.58,11.1
GBPJPY,60,2.0,1.0,30,False,False,158,35.44,1.076,60.57,5.8
GBPUSD,20,3.0,1.0,20,True,True,339,27.73,1.075,33.3,7.6
EURJPY,40,4.0,1.5,30,False,True,105,29.52,1.075,43.79,16.1
EURJPY,60,2.0,1.0,30,False,False,148,34.46,1.075,34.89,6.0
EURJPY,20,2.0,2.0,30,True,False,137,51.09,1.074,35.5,10.7
EURJPY,40,4.0,1.5,20,False,False,247,29.55,1.073,54.95,14.6
EURJPY,20,3.0,2.0,25,False,True,181,43.09,1.072,39.66,16.9
GBPUSD,60,4.0,1.5,25,False,False,195,30.26,1.072,32.35,13.1
EURJPY,20,3.0,1.5,25,True,False,179,36.31,1.071,52.8,12.4
EURJPY,20,4.0,1.5,30,False,False,137,29.2,1.071,33.3,15.5
EURJPY,40,4.0,1.5,25,False,False,168,29.76,1.071,53.86,15.7
USDJPY,40,3.0,2.0,25,False,False,210,40.95,1.07,49.13,15.0
USDJPY,40,3.0,1.0,25,False,True,219,25.11,1.07,37.76,8.7
GBPUSD,20,4.0,1.0,20,False,True,390,23.33,1.069,44.37,9.3
GBPJPY,40,2.0,1.0,30,True,True,140,34.29,1.068,56.23,5.5
EURJPY,60,2.0,1.5,20,True,True,220,44.55,1.068,38.76,8.3
GBPJPY,20,3.0,1.0,20,False,False,392,26.53,1.068,57.48,8.3
GBPUSD,20,4.0,1.0,25,True,True,220,23.64,1.067,25.88,10.2
EURJPY,20,4.0,1.5,30,False,True,118,29.66,1.067,40.49,16.3
EURJPY,60,2.0,1.0,20,False,False,279,34.77,1.067,48.02,5.9
EURJPY,20,2.0,1.5,30,False,False,168,44.64,1.067,23.26,8.4
GBPJPY,40,3.0,1.5,25,False,False,190,37.37,1.066,97.99,12.4
USDJPY,40,2.0,2.0,25,False,False,232,50.86,1.065,49.38,10.8
GBPJPY,60,4.0,1.5,25,False,False,164,31.1,1.065,70.39,14.5
EURJPY,40,3.0,1.0,20,True,True,240,25.42,1.064,55.45,7.9
EURJPY,60,3.0,1.0,20,True,True,216,26.39,1.064,60.21,8.2
USDJPY,60,3.0,1.0,20,True,True,236,25.85,1.063,40.38,7.9
EURUSD,40,4.0,1.0,30,True,False,147,22.45,1.063,29.76,8.7
EURJPY,60,4.0,1.5,30,True,False,109,29.36,1.062,49.71,15.3
EURUSD,20,2.0,1.0,30,True,True,159,35.22,1.062,25.68,4.9
USDJPY,60,2.0,1.0,25,False,True,211,34.6,1.061,28.19,6.4
EURJPY,20,4.0,2.0,30,False,False,128,35.16,1.061,36.87,19.5
GBPJPY,60,4.0,1.0,30,False,False,134,22.39,1.06,60.76,10.2
GBPUSD,60,4.0,2.0,25,True,False,174,36.21,1.06,33.18,16.5
GBPUSD,40,3.0,1.0,25,True,False,244,27.87,1.06,35.51,7.7
EURUSD,20,4.0,2.0,20,True,False,263,36.5,1.059,41.08,16.7
GBPUSD,20,3.0,1.0,20,True,False,371,27.49,1.059,30.65,7.7
GBPJPY,20,2.0,1.0,30,False,False,203,36.45,1.059,65.78,6.0
EURJPY,20,2.0,1.5,25,False,False,253,44.27,1.059,39.1,8.4
