pair,direction,entry_time,exit_time,entry,exit,sl,tp,D,pnl_price,pnl_net,result,bars_held
EURJPY,LONG,2025-01-24 09:00:00,2025-01-27 09:00:00,163.256,162.22842,162.22842,164.28358,1.345,-1.02758,-1.04758,SL,23
EURJPY,SHORT,2025-02-03 00:00:00,2025-02-03 09:00:00,159.901,158.68089,161.12111,158.68089,1.597,1.22011,1.20011,TP,9
EURJPY,SHORT,2025-02-21 16:00:00,2025-02-28 02:00:00,156.308,154.84723,157.76877,154.84723,1.912,1.46077,1.44077,TP,105
EURJPY,SHORT,2025-03-25 14:00:00,2025-03-26 06:00:00,161.939,162.3974,162.3974,161.48059,0.60001,-0.4584,-0.4784,SL,16
EURJPY,LONG,2025-03-31 18:00:00,2025-04-01 10:00:00,162.351,161.34634,161.34634,163.35566,1.315,-1.00466,-1.02466,SL,16
EURJPY,SHORT,2025-04-02 21:00:00,2025-04-25 14:00:00,161.10699,163.45171,163.45171,158.76228,3.069,-2.34472,-2.36472,SL,398
EURJPY,SHORT,2025-05-07 17:00:00,2025-05-07 18:00:00,162.63,162.8019,162.8019,162.45811,0.22499,-0.17189,-0.19189,SL,1
EURJPY,SHORT,2025-05-22 07:00:00,2025-05-23 11:00:00,162.14,161.16819,163.11181,161.16819,1.272,0.97181,0.95181,TP,28
EURJPY,LONG,2025-06-05 13:00:00,2025-06-10 02:00:00,164.258,165.37725,163.13874,165.37725,1.465,1.11926,1.09926,TP,60
EURJPY,LONG,2025-08-12 00:00:00,2025-08-13 02:00:00,172.342,172.9486,171.73539,172.9486,0.79399,0.60661,0.58661,TP,26
EURJPY,LONG,2025-09-07 23:00:00,2025-09-09 08:00:00,173.414,172.67597,172.67597,174.15203,0.966,-0.73803,-0.75803,SL,33
EURJPY,SHORT,2025-09-11 14:00:00,2025-09-12 04:00:00,172.508,172.92667,172.92667,172.08932,0.548,-0.41868,-0.43868,SL,14
EURJPY,SHORT,2025-10-15 21:00:00,2025-10-16 00:00:00,175.811,175.54742,176.07459,175.54742,0.345,0.26358,0.24358,TP,3
EURJPY,LONG,2025-10-30 06:00:00,2025-11-04 05:00:00,178.23199,177.00655,177.00655,179.45744,1.60399,-1.22545,-1.24545,SL,69
EURJPY,LONG,2025-11-17 15:00:00,2025-11-19 10:00:00,179.97099,180.73805,179.20394,180.73805,1.004,0.76705,0.74705,TP,43
EURJPY,LONG,2025-12-11 18:00:00,2025-12-15 05:00:00,182.642,182.05372,182.05372,183.23028,0.77,-0.58828,-0.60828,SL,34
