pair,strat,full_pf,full_n,full_net,full_wr,full_sharpe,full_maxdd_R,is_pf,is_n,oos_pf,oos_n,oos_net,yr_pos_rate,n_years,PASS
AUDCAD,DON_dc40,0.578,1661,-11581.3,28.7,-8.36,390.4,0.684,977,0.429,684,-6503.4,0.0,12,
AUDCAD,DON200_dc40,0.597,1427,-9597.2,28.9,-7.67,337.1,0.725,833,0.425,594,-5838.1,8.0,12,
AUDCAD,DON_dc55,0.612,1366,-8767.0,29.6,-7.14,308.8,0.746,807,0.426,559,-5425.6,8.0,12,
AUDCAD,DON200_dc55,0.619,1251,-7883.5,30.0,-6.93,287.3,0.761,731,0.428,520,-5056.8,8.0,12,
AUDCAD,EMAX_20_50,0.595,1460,-9161.4,26.8,-7.9,338.2,0.611,844,0.57,616,-3863.7,0.0,12,
AUDCAD,EMAX_50_100,0.666,615,-3155.7,29.8,-4.15,121.9,0.767,366,0.515,249,-1831.8,25.0,12,
AUDCAD,EMAX_50_200,0.597,441,-2761.4,30.8,-3.99,95.6,0.636,248,0.541,193,-1298.3,8.0,12,
AUDCAD,TSMOM_100,0.622,3295,-11514.6,29.0,-9.72,442.5,0.643,2006,0.586,1289,-4675.6,0.0,12,
AUDCAD,TSMOM_200,0.585,2251,-8831.8,27.8,-7.82,310.4,0.604,1343,0.554,908,-3666.0,8.0,12,
AUDCAD,TSMOM_400,0.588,1657,-6528.2,29.0,-6.83,233.7,0.585,937,0.592,720,-2615.7,0.0,12,
