pair,confirm,n,z_in,z_tp,max_hold,confirm_window,is_pf,is_n,is_wr,oos_pf,oos_n,oos_wr,oos_net,oos_dd,oos_tp_rate,wfo_min,d_oos_pf,n_retained
AUDCAD,candle,20,2.0,0.0,48,6,0.7907086223799941,1311,0.6338672768878718,0.8409123318795118,887,0.6459977452085682,-1141.5143722037456,1201.1443722037393,0.9188275084554679,0.5219262775000818,-0.14864421655291948,0.610041265474553
AUDCAD,rsi,20,2.0,0.0,48,6,0.8952278961662034,1535,0.6566775244299674,0.9404288376312262,1059,0.6506137865911237,-516.3595310635103,849.9498638070003,0.9235127478753541,0.7838830211405137,-0.04912771080120504,0.7283356258596974
AUDCAD,none,20,2.5,0.0,12,6,0.9474977980899616,1089,0.4628099173553719,1.1148016821302449,733,0.47885402455661663,663.5021799118786,274.8254898368148,0.4488403819918145,1.0567077767364959,0.0,1.0
AUDCAD,ema,20,2.5,0.0,12,6,0.7782967293699365,621,0.6537842190016103,0.9634950818653651,439,0.6924829157175398,-93.20186989753681,462.22670100831294,0.8587699316628702,0.5892208501440602,-0.15130660026487974,0.5989085948158254
AUDCAD,candle,20,2.5,0.0,12,6,0.7397899397766121,666,0.5945945945945946,0.8909981785750503,451,0.6363636363636364,-430.2136968447671,583.7541706273175,0.70509977827051,0.5688645728153451,-0.22380350355519463,0.6152796725784447
AUDCAD,rsi,20,2.5,0.0,12,6,0.8448605839406924,901,0.6037735849056604,1.0710685427045006,621,0.6409017713365539,365.90359856624593,618.188632078685,0.677938808373591,0.9011529571344127,-0.043733139425744305,0.8472032742155525
AUDCAD,none,20,2.5,0.0,24,6,0.9645446571943803,1068,0.499063670411985,1.1007782638265347,726,0.5027548209366391,594.3360020378284,357.5000000000008,0.6198347107438017,1.0572295193380516,0.0,1.0
AUDCAD,ema,20,2.5,0.0,24,6,0.799550210327197,616,0.6558441558441559,1.098683903037922,439,0.6924829157175398,220.95116978490637,228.06084494162982,0.9567198177676538,0.7010052583496666,-0.0020943607886125815,0.6046831955922864
AUDCAD,candle,20,2.5,0.0,24,6,0.7328350103014248,649,0.6194144838212635,0.8907839162122674,445,0.647191011235955,-427.02322619297877,614.2241385129162,0.8808988764044944,0.5848923510291842,-0.20999434761426727,0.6129476584022039
AUDCAD,rsi,20,2.5,0.0,24,6,0.8723697677706871,877,0.6237172177879133,1.0781000388446518,614,0.6661237785016286,402.3271089004878,498.37243962794923,0.8843648208469055,0.9093056462248585,-0.022678224981882877,0.8457300275482094
AUDCAD,none,20,2.5,0.0,48,6,0.9819274189791399,1063,0.4995296331138288,1.1281187827571388,725,0.5020689655172413,735.1799449212072,302.5050000000009,0.6496551724137931,1.0444915140773838,0.0,1.0
AUDCAD,ema,20,2.5,0.0,48,6,0.8071437158624319,615,0.6552845528455284,1.1176831995024534,439,0.6924829157175398,259.0111697849084,222.01084494163007,0.9681093394077449,0.7010052583496666,-0.01043558325468541,0.6055172413793104
AUDCAD,candle,20,2.5,0.0,48,6,0.7482336168956767,648,0.6203703703703703,0.9000757233557592,443,0.6455981941309256,-384.0444092297323,486.8941385129127,0.9232505643340858,0.5741509963864052,-0.2280430594013796,0.6110344827586207
AUDCAD,rsi,20,2.5,0.0,48,6,0.872836991905634,874,0.6235697940503433,1.096554656039643,612,0.6650326797385621,485.8398687471116,367.05500000000586,0.923202614379085,0.8757209101786247,-0.031564126717495755,0.8441379310344828
AUDCAD,none,40,2.0,0.0,12,6,1.0605590806899656,1484,0.5128032345013477,1.1159551776812184,989,0.5237613751263903,1094.787138279398,495.7382493365534,0.34782608695652173,1.0792050659450036,0.0,1.0
AUDCAD,ema,40,2.0,0.0,12,6,0.90181482861575,1099,0.5896269335759782,1.0289214070022823,734,0.6267029972752044,186.3548727878086,623.0468982191072,0.553133514986376,0.687201344111539,-0.08703377067893614,0.7421638018200202
AUDCAD,candle,40,2.0,0.0,12,6,0.869331438152012,1021,0.5504407443682664,0.9737223250903759,657,0.5875190258751902,-170.05687651245165,548.185427365361,0.4627092846270928,0.5711644311007031,-0.1422328525908425,0.6643073811931244
AUDCAD,rsi,40,2.0,0.0,12,6,0.9824201078392697,1180,0.5533898305084746,1.0765202906833125,776,0.5657216494845361,570.4888864661237,514.2648080192926,0.41881443298969073,0.8824889689582761,-0.03943488699790598,0.7846309403437816
AUDCAD,none,40,2.0,0.0,24,6,1.0299172218156052,1371,0.574033552151714,1.2347013790632082,922,0.6073752711496746,2247.920036889548,423.16873203797155,0.5900216919739696,1.1396347545820391,0.0,1.0
AUDCAD,ema,40,2.0,0.0,24,6,0.9383144243257301,1041,0.6714697406340058,1.1830852251925352,698,0.7077363896848138,1124.5981334850214,555.2323666552725,0.7908309455587392,0.8381427199650282,-0.051616153870672976,0.7570498915401301
AUDCAD,candle,40,2.0,0.0,24,6,0.868251321778671,966,0.639751552795031,1.1067663388177502,630,0.6714285714285714,700.3365681262508,585.6029273653627,0.7126984126984127,0.6692124979238838,-0.127935040245458,0.6832971800433839
AUDCAD,rsi,40,2.0,0.0,24,6,0.9644756153145367,1094,0.629798903107861,1.2055416085350092,728,0.6785714285714286,1585.27381397015,552.1823080192902,0.6895604395604396,1.050088712430387,-0.02915977052819896,0.789587852494577
AUDCAD,none,40,2.0,0.0,48,6,1.075646566807413,1303,0.5947812739831159,1.3821219670632756,894,0.6431767337807607,3214.375561857456,382.6027058530967,0.7527964205816555,1.2615164702003836,0.0,1.0
AUDCAD,ema,40,2.0,0.0,48,6,0.9802870131216281,996,0.6746987951807228,1.3545296503549615,680,0.7235294117647059,1869.8032804613808,448.1520150924937,0.9338235294117647,0.935517129232375,-0.02759231670831408,0.7606263982102909
AUDCAD,candle,40,2.0,0.0,48,6,0.9475865294877184,919,0.6561479869423286,1.2778882205415867,612,0.7009803921568627,1538.9873773859401,544.4751452598971,0.9019607843137255,0.744926554606057,-0.10423374652168893,0.6845637583892618
AUDCAD,rsi,40,2.0,0.0,48,6,1.017956908540814,1030,0.6504854368932039,1.4205892787597936,703,0.7140825035561877,2714.084786549203,388.87427249473126,0.8862019914651493,1.2072458149178027,0.03846731169651796,0.7863534675615212
AUDCAD,none,40,2.5,0.0,12,6,1.08922275718374,872,0.463302752293578,1.1370163524334642,580,0.4724137931034483,743.2812287128721,318.564964958629,0.2620689655172414,0.9517275837553187,0.0,1.0
AUDCAD,ema,40,2.5,0.0,12,6,0.9403240657347548,568,0.5686619718309859,0.9653591288515874,385,0.587012987012987,-134.7748954982956,454.02194814740375,0.4883116883116883,0.6973962134136231,-0.17165722358187685,0.6637931034482759
