pair,entry_ts,exit_ts,direction,entry,exit,pnl_pips,pnl_r,exit_reason,bars_held
AUDUSD,2025-04-18 04:00:00,2025-04-20 20:00:00,-1,0.6372267603874207,0.6394408220040563,-23.340616166356206,-1.000000000000014,SL,5
GBPUSD,2025-04-22 16:00:00,2025-04-22 20:00:00,1,1.3331022262573242,1.329646610611158,-36.056156461662546,-0.9999999999999806,SL,1
GBPUSD,2025-04-25 00:00:00,2025-04-28 12:00:00,1,1.3288860321044922,1.339712539452352,106.76507347859726,2.9999999999999765,TP,10
EURUSD,2025-04-25 12:00:00,2025-04-28 04:00:00,1,1.1383039951324463,1.1340728786153647,-43.311165170816345,-1.0000000000000107,SL,5
EURUSD,2025-04-28 04:00:00,2025-04-30 12:00:00,1,1.1350737810134888,1.1350737810134888,-1.0,0.0,SL,14
EURUSD,2025-05-02 12:00:00,2025-05-06 00:00:00,1,1.1332728862762451,1.1294668241244357,-39.06062151809453,-0.9999999999999776,SL,10
GBPUSD,2025-05-05 16:00:00,2025-05-06 12:00:00,1,1.3293452262878418,1.3396356279188049,101.40401630963063,2.9999999999999725,TP,5
EURUSD,2025-05-06 00:00:00,2025-05-07 16:00:00,1,1.131861925125122,1.131861925125122,-1.0,0.0,SL,10
AUDUSD,2025-05-07 08:00:00,2025-05-07 16:00:00,1,0.6474880576133728,0.6451913699281522,-24.16687685220622,-0.9999999999999925,SL,2
EURUSD,2025-05-08 00:00:00,2025-05-08 04:00:00,1,1.1330161094665527,1.1294933079440646,-36.22801522488184,-1.0000000000000062,SL,1
GBPUSD,2025-05-08 08:00:00,2025-05-08 12:00:00,1,1.3328534364700317,1.3279357883426033,-50.676481274284534,-1.000000000000008,SL,1
GBPUSD,2025-05-08 12:00:00,2025-05-09 00:00:00,1,1.3284093141555786,1.3232355285366526,-53.23785618926008,-1.000000000000018,SL,3
GBPUSD,2025-05-09 20:00:00,2025-05-12 04:00:00,1,1.3303887844085693,1.3267212712011671,-38.17513207402217,-1.0000000000000095,SL,3
AUDUSD,2025-05-12 04:00:00,2025-05-12 12:00:00,1,0.6407668590545654,0.638144026541399,-27.428325131664174,-1.000000000000018,SL,2
AUDUSD,2025-05-13 00:00:00,2025-05-13 16:00:00,1,0.6401188373565674,0.6481290586408034,78.90221284236007,3.0000000000000058,TP,4
AUDUSD,2025-05-14 16:00:00,2025-05-15 12:00:00,1,0.6429503560066223,0.640171306552811,-28.990494538113552,-0.9999999999999909,SL,5
GBPUSD,2025-05-14 16:00:00,2025-05-16 12:00:00,1,1.326084017753601,1.326084017753601,-1.5,0.0,SL,11
GBPUSD,2025-05-16 20:00:00,2025-05-19 04:00:00,1,1.3284269571304321,1.337172423569961,85.95466439528781,3.000000000000017,TP,3
