pair,ci_th,atr_mult,max_levels,is_pf,is_net,is_ntp,is_loss_ev,oos_pf,oos_net,oos_ntp,oos_loss_ev,oos_worst,oos_dd
CHFJPY,55.0,1.5,7,1.1389,1575731.0,302,7,0.9923,-81196.0,276,7,-1759302.0,3827377.0
CHFJPY,55.0,2.0,3,1.009,92083.0,182,18,1.0356,285379.0,165,19,-871199.0,1711250.0
CHFJPY,55.0,2.0,5,1.0799,824611.0,196,8,1.0212,184484.0,176,9,-1654497.0,2456756.0
CHFJPY,55.0,2.0,7,1.0014,15658.0,195,7,0.8682,-1404734.0,182,7,-1711104.0,4068849.0
CHFJPY,55.0,2.5,3,1.0505,416834.0,123,16,1.0838,551947.0,112,16,-871199.0,1347620.0
CHFJPY,55.0,2.5,5,1.0286,261063.0,134,7,0.9261,-647744.0,127,7,-1655199.0,3211164.0
CHFJPY,55.0,2.5,7,1.0267,255218.0,139,6,0.9079,-880666.0,134,6,-1739497.0,3600778.0
CHFJPY,55.0,3.0,3,1.095,688771.0,94,12,1.1194,718431.0,88,15,-782903.0,1448330.0
CHFJPY,55.0,3.0,5,1.0229,184840.0,100,5,1.2235,1408234.0,101,5,-1594600.0,2566049.0
CHFJPY,55.0,3.0,7,1.0229,184840.0,100,5,0.9827,-137878.0,103,5,-1703198.0,3018115.0
CHFJPY,60.0,1.0,3,1.0729,544202.0,288,15,1.0047,24468.0,219,12,-1056802.0,1414925.0
CHFJPY,60.0,1.0,5,0.7593,-2678114.0,305,10,0.7645,-1860453.0,251,8,-1646602.0,3190843.0
CHFJPY,60.0,1.0,7,0.9019,-1035763.0,341,7,0.6198,-3929785.0,264,7,-1646602.0,5152086.0
CHFJPY,60.0,1.5,3,0.9669,-231401.0,161,14,0.7151,-1674037.0,114,10,-1505501.0,2679186.0
CHFJPY,60.0,1.5,5,0.8501,-1243041.0,171,7,0.7457,-1513593.0,120,6,-1556900.0,2367611.0
CHFJPY,60.0,1.5,7,0.7995,-1861790.0,180,6,0.6596,-2581189.0,134,5,-1556900.0,3889316.0
CHFJPY,60.0,2.0,3,0.8525,-1002590.0,105,12,0.6892,-1870857.0,82,10,-1505501.0,3348471.0
CHFJPY,60.0,2.0,5,0.7371,-2306664.0,119,7,0.8781,-622610.0,90,5,-1527603.0,2306711.0
CHFJPY,60.0,2.0,7,0.6734,-3110913.0,119,6,0.7456,-1576986.0,92,4,-1649503.0,2932118.0
CHFJPY,60.0,2.5,3,0.8459,-983145.0,77,13,0.7762,-997783.0,55,8,-1517999.0,1985818.0
CHFJPY,60.0,2.5,5,0.6482,-3287984.0,90,6,0.743,-1389056.0,64,4,-1551901.0,2385759.0
CHFJPY,60.0,2.5,7,0.6496,-3264054.0,90,6,0.6781,-1958917.0,66,4,-1551901.0,2955619.0
CHFJPY,60.0,3.0,3,0.9929,-35788.0,59,9,0.6901,-1702273.0,50,8,-1517999.0,2833001.0
CHFJPY,60.0,3.0,5,0.695,-2428473.0,68,5,0.7712,-1236908.0,56,4,-1541101.0,2430058.0
CHFJPY,60.0,3.0,7,0.695,-2428473.0,68,5,0.7076,-1777116.0,58,4,-1541101.0,2970266.0
CHFJPY,61.8,1.0,3,0.9189,-473114.0,189,11,1.0405,161768.0,168,10,-1056802.0,1056802.0
CHFJPY,61.8,1.0,5,0.717,-2334773.0,210,7,0.9288,-389936.0,205,5,-1594901.0,2459135.0
CHFJPY,61.8,1.0,7,0.6925,-2865225.0,226,6,1.017,93520.0,224,4,-1618704.0,1918530.0
CHFJPY,61.8,1.5,3,0.9259,-377841.0,108,9,0.8035,-829652.0,89,8,-1093701.0,1945063.0
CHFJPY,61.8,1.5,5,0.8268,-1098219.0,123,6,1.0766,284768.0,106,3,-1564497.0,2106622.0
CHFJPY,61.8,1.5,7,0.5739,-3967264.0,125,6,0.9179,-381062.0,111,3,-1583797.0,2792615.0
CHFJPY,61.8,2.0,3,0.9165,-392416.0,79,7,0.8675,-512705.0,64,8,-1078001.0,1997785.0
CHFJPY,61.8,2.0,5,0.699,-1988141.0,85,5,1.3178,970517.0,78,2,-1543398.0,2230040.0
CHFJPY,61.8,2.0,7,0.6008,-3117443.0,87,5,1.3178,970517.0,78,2,-1543398.0,2230040.0
CHFJPY,61.8,2.5,3,0.7942,-1003644.0,56,7,1.1427,377974.0,47,6,-918700.0,991223.0
CHFJPY,61.8,2.5,5,0.5374,-3773537.0,63,5,1.1947,594803.0,58,2,-1548201.0,1778917.0
CHFJPY,61.8,2.5,7,0.5374,-3773537.0,63,5,1.1947,594803.0,58,2,-1548201.0,1778917.0
CHFJPY,61.8,3.0,3,0.905,-396117.0,44,7,0.9695,-95499.0,39,6,-983801.0,1515637.0
CHFJPY,61.8,3.0,5,0.4935,-4025017.0,47,5,1.202,621585.0,49,2,-1560101.0,2038072.0
CHFJPY,61.8,3.0,7,0.4935,-4025017.0,47,5,1.202,621585.0,49,2,-1560101.0,2038072.0
CHFJPY,65.0,1.0,3,1.3362,736034.0,92,6,2.2177,676085.0,54,3,-350899.0,388199.0
CHFJPY,65.0,1.0,5,0.9003,-382753.0,109,3,0.4228,-2009571.0,65,3,-1516901.0,3107360.0
CHFJPY,65.0,1.0,7,0.7912,-950065.0,114,3,0.5616,-1327739.0,75,2,-1516901.0,2475413.0
CHFJPY,65.0,1.5,3,2.1061,1368884.0,56,3,0.4824,-1005145.0,27,3,-1511002.0,1764198.0
CHFJPY,65.0,1.5,5,1.6363,1092606.0,60,2,0.3836,-1909018.0,35,2,-1586203.0,2770461.0
CHFJPY,65.0,1.5,7,0.9224,-240344.0,61,2,0.3836,-1909018.0,35,2,-1586203.0,2770461.0
CHFJPY,65.0,2.0,3,1.5511,738813.0,36,2,0.4411,-1083181.0,19,3,-1503101.0,1720198.0
CHFJPY,65.0,2.0,5,0.7246,-848369.0,39,2,0.3622,-1956598.0,25,2,-1564702.0,2719216.0
CHFJPY,65.0,2.0,7,0.7375,-808555.0,40,2,0.3622,-1956598.0,25,2,-1564702.0,2719216.0
CHFJPY,65.0,2.5,3,0.9684,-58979.0,24,2,0.3709,-1894356.0,20,2,-1508002.0,2676487.0
CHFJPY,65.0,2.5,5,0.7761,-587504.0,27,2,0.3709,-1894356.0,20,2,-1508002.0,2676487.0
CHFJPY,65.0,2.5,7,0.686,-960353.0,28,2,0.3709,-1894356.0,20,2,-1508002.0,2676487.0
CHFJPY,65.0,3.0,3,1.0599,81910.0,18,2,0.6517,-530383.0,15,1,-1522702.0,1522702.0
CHFJPY,65.0,3.0,5,0.5468,-1389692.0,21,2,0.6517,-530383.0,15,1,-1522702.0,1522702.0
CHFJPY,65.0,3.0,7,0.5468,-1389692.0,21,2,0.6517,-530383.0,15,1,-1522702.0,1522702.0
CHFJPY,70.0,1.0,3,1.4574,382172.0,39,3,inf,196628.0,8,0,0.0,0.0
CHFJPY,70.0,1.0,5,0.9507,-74226.0,47,1,inf,196628.0,8,0,0.0,0.0
CHFJPY,70.0,1.0,7,0.9322,-104029.0,47,1,inf,196628.0,8,0,0.0,0.0
CHFJPY,70.0,1.5,3,1.2486,176388.0,19,2,inf,224400.0,6,0,0.0,0.0
CHFJPY,70.0,1.5,5,0.8561,-163657.0,21,1,inf,224400.0,6,0,0.0,0.0
CHFJPY,70.0,1.5,7,0.6668,-527828.0,23,1,inf,224400.0,6,0,0.0,0.0
CHFJPY,70.0,2.0,3,0.8908,-88782.0,12,1,inf,222499.0,4,0,0.0,0.0
CHFJPY,70.0,2.0,5,0.5193,-723870.0,13,1,inf,222499.0,4,0,0.0,0.0
CHFJPY,70.0,2.0,7,0.5193,-723870.0,13,1,inf,222499.0,4,0,0.0,0.0
CHFJPY,70.0,2.5,3,0.6778,-261186.0,7,1,inf,203589.0,3,0,0.0,0.0
CHFJPY,70.0,2.5,5,0.4145,-880542.0,8,1,inf,203589.0,3,0,0.0,0.0
CHFJPY,70.0,2.5,7,0.4145,-880542.0,8,1,inf,203589.0,3,0,0.0,0.0
CHFJPY,70.0,3.0,3,0.8402,-53494.0,3,1,inf,159472.0,2,0,0.0,0.0
CHFJPY,70.0,3.0,5,0.2449,-1140359.0,4,1,inf,159472.0,2,0,0.0,0.0
CHFJPY,70.0,3.0,7,0.2449,-1140359.0,4,1,inf,159472.0,2,0,0.0,0.0
NZDJPY,55.0,1.0,3,0.9934,-59335.0,493,36,1.1638,1061336.0,467,30,-535101.0,605774.0
NZDJPY,55.0,1.0,5,0.888,-1378011.0,604,24,1.1774,1374992.0,562,15,-618501.0,917015.0
NZDJPY,55.0,1.0,7,0.9074,-1160119.0,630,23,1.1408,1195904.0,601,15,-749800.0,1101236.0
NZDJPY,55.0,1.5,3,0.8171,-1612161.0,263,29,1.1349,752831.0,265,20,-560300.0,732249.0
NZDJPY,55.0,1.5,5,0.9106,-827180.0,306,18,1.3809,2006072.0,302,11,-630000.0,779569.0
NZDJPY,55.0,1.5,7,0.9162,-776718.0,311,17,1.3242,1784662.0,301,10,-630000.0,889115.0
NZDJPY,55.0,2.0,3,0.9979,-13582.0,167,23,1.1368,645684.0,171,15,-540100.0,721585.0
NZDJPY,55.0,2.0,5,1.1077,703830.0,194,12,1.1085,561709.0,183,11,-555801.0,771690.0
NZDJPY,55.0,2.0,7,1.1061,694730.0,194,12,1.0818,431380.0,180,10,-573001.0,884749.0
NZDJPY,55.0,2.5,3,1.014,85827.0,128,19,1.1515,574186.0,111,11,-541000.0,620106.0
NZDJPY,55.0,2.5,5,1.1653,929717.0,136,10,1.0505,230897.0,121,9,-546700.0,1237008.0
NZDJPY,55.0,2.5,7,1.1653,929717.0,136,10,1.0369,171075.0,121,9,-546700.0,1296829.0
NZDJPY,55.0,3.0,3,0.9852,-77535.0,90,16,1.0277,104476.0,85,11,-560100.0,541000.0
NZDJPY,55.0,3.0,5,1.0295,156187.0,97,10,1.0815,295701.0,83,7,-534501.0,713452.0
NZDJPY,55.0,3.0,7,1.0082,44188.0,97,10,1.0815,295701.0,83,7,-534501.0,713452.0
NZDJPY,60.0,1.0,3,0.9436,-359172.0,342,27,1.124,405572.0,236,17,-532802.0,605774.0
NZDJPY,60.0,1.0,5,0.8202,-1660490.0,426,18,1.217,821799.0,288,8,-618501.0,941312.0
NZDJPY,60.0,1.0,7,0.9045,-836579.0,447,16,1.2529,993626.0,309,7,-749800.0,880766.0
NZDJPY,60.0,1.5,3,0.8606,-806737.0,187,23,1.0034,10390.0,131,13,-401201.0,661724.0
NZDJPY,60.0,1.5,5,0.9875,-76045.0,223,12,1.1823,597551.0,161,7,-524802.0,736039.0
NZDJPY,60.0,1.5,7,0.9981,-11724.0,227,11,1.0866,309229.0,161,7,-525999.0,782920.0
NZDJPY,60.0,2.0,3,1.0092,38555.0,118,17,1.246,561823.0,90,8,-507001.0,507001.0
NZDJPY,60.0,2.0,5,0.9603,-194300.0,130,9,1.2007,530452.0,98,5,-567402.0,660131.0
NZDJPY,60.0,2.0,7,0.9603,-194300.0,130,9,1.1911,509152.0,98,5,-567402.0,681431.0
NZDJPY,60.0,2.5,3,0.8467,-688537.0,83,15,1.1181,261531.0,63,8,-387500.0,444232.0
NZDJPY,60.0,2.5,5,1.1214,444102.0,89,7,1.0332,89226.0,68,5,-584103.0,659902.0
NZDJPY,60.0,2.5,7,1.0881,332102.0,89,7,1.0332,89226.0,68,5,-584103.0,659902.0
NZDJPY,60.0,3.0,3,0.8141,-750174.0,62,12,1.3312,564554.0,50,7,-409100.0,476273.0
NZDJPY,60.0,3.0,5,0.9344,-254987.0,65,7,1.2568,539406.0,56,4,-546500.0,646754.0
NZDJPY,60.0,3.0,7,0.9344,-254987.0,65,7,1.2568,539406.0,56,4,-546500.0,646754.0
NZDJPY,61.8,1.0,3,1.0168,71630.0,250,18,0.9557,-134978.0,180,14,-532802.0,769283.0
