sym,entry_time,exit_time,session,direction,entry,exit,sl,tp,rh,rl,sh,sl_level,result,pnl,pnl_pips,rr,atr
GBPJPY,2018-04-29 22:00:00,2018-04-29 23:45:00,13,long,150.297,150.209,149.9852483655667,151.257,152.274,150.24,152.599,148.797,timeout,-0.10799999999999386,-10.799999999999386,3.0793743928402115,1.065010896222088
GBPJPY,2018-08-05 21:30:00,2018-08-05 23:45:00,13,long,144.559,144.622,144.35846049965733,145.027,145.543,144.511,147.146,143.788445,timeout,0.043000000000016594,4.300000000001659,2.333704827230025,0.8835966689512896
GBPJPY,2018-08-12 21:30:00,2018-08-12 23:45:00,13,long,141.027,141.156,140.6432694841741,141.727,142.52,140.934,144.735,140.22933,timeout,0.1090000000000191,10.90000000000191,1.8241968546427945,0.9582034388392755
GBPJPY,2018-09-02 21:15:00,2018-09-02 23:45:00,13,long,143.546,143.612,143.24205475029845,144.0915,144.691,143.492,145.684,142.822,timeout,0.0460000000000025,4.600000000000249,1.794731125213032,1.0396349980103015
GBPJPY,2018-10-04 13:45:00,2018-10-04 16:15:00,13,short,148.375,147.923,148.75587967910883,147.923,148.582,147.264,149.412,146.946,tp,0.43199999999999816,43.19999999999982,1.1867264776571265,1.1591978607256115
GBPJPY,2018-11-04 22:15:00,2018-11-04 23:45:00,13,short,147.17000000000002,147.137,147.55066222923713,146.79500000000002,147.254,146.336,147.579,143.211,timeout,0.013000000000015461,1.3000000000015461,0.9851253189777589,1.2444148615808461
GBPJPY,2019-01-01 22:45:00,2019-01-01 23:45:00,13,long,139.804,139.883,139.40540725975762,140.1975,140.873,139.522,140.9,139.492,timeout,0.05900000000000773,5.900000000000772,0.9872231986982687,0.9839516016158713
GBPJPY,2019-01-13 22:15:00,2019-01-13 23:45:00,13,short,139.423,139.334,139.73765362097225,138.558,139.481,137.635,140.873,137.607,timeout,0.06899999999999863,6.899999999999863,2.7490546504033144,1.4110241398149361
GBPJPY,2019-03-27 13:15:00,2019-03-27 14:30:00,13,short,146.131,145.739,146.61002472941738,145.739,146.467,145.011,148.083,144.13,tp,0.3719999999999959,37.19999999999959,0.8183293594816594,1.3868315294492923
GBPJPY,2019-06-02 21:15:00,2019-06-02 23:45:00,13,long,136.79899999999998,136.78,136.5222976651551,137.29199999999997,137.956,136.628,139.641,135.94485999999998,timeout,-0.03899999999997704,-3.899999999997704,1.7816980123292563,0.9046822322993271
GBPJPY,2019-06-16 21:15:00,2019-06-16 23:45:00,13,long,136.628,136.728,136.33325659256258,136.9575,137.407,136.508,138.321,135.82546000000002,timeout,0.08000000000002273,8.000000000002274,1.1179215266078395,0.7649560495829149
GBPJPY,2019-07-28 21:45:00,2019-07-28 23:45:00,13,long,134.558,134.435,134.30972223712087,134.959,135.387,134.531,135.839,134.241,timeout,-0.14299999999999044,-14.299999999999043,1.6151265234141645,0.7285184191942071
GBPJPY,2019-09-24 13:15:00,2019-09-24 15:15:00,13,short,134.322,133.9445,134.66534484688518,133.9445,134.542,133.347,135.746,132.167,tp,0.3574999999999977,35.74999999999977,1.0994776925434584,1.1889656459012243
GBPJPY,2019-09-27 13:30:00,2019-09-27 15:30:00,13,short,133.13400000000001,132.8315,133.44790339963802,132.8315,133.285,132.378,134.61,132.167,tp,0.2825000000000091,28.250000000000906,0.9636722646166015,1.1526893309201862
