pair,tag,full_pf,full_net,full_dd,full_nfs,full_nbk,full_worst,full_ntp,is_pf,oos_pf,oos_net,oos_dd,wfo_med,wfo_min
AUDCAD,C_combo+b48_36,2.2587,6153980.0,410380.0,0,0,-344520.0,663,2.5536,1.9388,2201356.0,410380.0,2.4608999999999996,1.3619
EURGBP,baseline,1.2589,4606516.0,3217236.0,8,0,-1556670.0,826,1.2836,1.2165,1418662.0,1682328.0,1.3595000000000002,0.7728
EURGBP,X1_tp0.6,1.2309,4004973.0,3702485.0,9,0,-1438490.0,1341,1.2092,1.272,1625932.0,1876661.0,1.2846,0.7148
EURGBP,X1_tp0.8,1.2173,3886537.0,3411423.0,8,0,-1418350.0,1021,1.2774,1.1192,810138.0,1826676.0,1.34125,0.6886
EURGBP,X1_tp1.2,1.2525,4616666.0,3142619.0,8,0,-1556670.0,698,1.3316,1.1208,829350.0,1740481.0,1.363,0.7563
EURGBP,X1_tp1.5,1.3326,6068888.0,1954143.0,8,0,-1521900.0,589,1.4406,1.1607,1130846.0,1741245.0,1.31395,0.8017
EURGBP,X1_tp2.0,1.277,5319891.0,2006373.0,8,0,-1816970.0,441,1.4563,1.0139,108571.0,1957217.0,1.10335,0.5448
EURGBP,X2_bk0.15,1.2589,4606516.0,3217236.0,8,0,-1556670.0,826,1.2836,1.2165,1418662.0,1682328.0,1.3595000000000002,0.7728
EURGBP,X2_bk0.25,1.2589,4606516.0,3217236.0,8,0,-1556670.0,826,1.2836,1.2165,1418662.0,1682328.0,1.3595000000000002,0.7728
EURGBP,X2_bk0.4,1.2589,4606516.0,3217236.0,8,0,-1556670.0,826,1.2836,1.2165,1418662.0,1682328.0,1.3595000000000002,0.7728
EURGBP,X3_arm0.15_gb0.5,1.2589,4606516.0,3217236.0,8,0,-1556670.0,826,1.2836,1.2165,1418662.0,1682328.0,1.3595000000000002,0.7728
EURGBP,X3_arm0.25_gb0.5,1.2589,4606516.0,3217236.0,8,0,-1556670.0,826,1.2836,1.2165,1418662.0,1682328.0,1.3595000000000002,0.7728
EURGBP,X3_arm0.25_gb0.33,1.2589,4606516.0,3217236.0,8,0,-1556670.0,826,1.2836,1.2165,1418662.0,1682328.0,1.3595000000000002,0.7728
EURGBP,X4_b48_24,1.2104,3857482.0,4075921.0,7,0,-1418350.0,821,1.1635,1.3047,1857284.0,1782594.0,1.67935,0.7728
EURGBP,X4_b48_36,1.2038,3760297.0,3937221.0,8,0,-1556670.0,819,1.2023,1.2066,1351972.0,1682328.0,1.48,0.7728
EURGBP,X4_b48_72,1.3399,5704180.0,2774292.0,8,0,-1556670.0,825,1.4139,1.2221,1436339.0,1682328.0,1.4847000000000001,0.7728
EURGBP,X4_b48_96,1.3203,5479471.0,2774292.0,9,0,-1556670.0,832,1.2894,1.3802,2213853.0,1682328.0,1.86105,0.7728
EURGBP,L2_pyr1.15,1.396,7630837.0,2886749.0,9,0,-1428098.0,836,1.4812,1.2651,2013827.0,1542929.0,1.3298999999999999,0.8556
EURGBP,L2_pyr1.3,1.2349,6016469.0,4593370.0,13,0,-1710590.0,827,1.293,1.1459,1477434.0,2585283.0,1.07285,0.7999
EURGBP,C_combo_(ref),1.4754,4578433.0,2969407.0,2,0,-1333800.0,704,1.2903,1.9647,2550677.0,693576.0,1.9717500000000001,1.6187
EURGBP,C_combo+tp0.8,1.5906,5281367.0,2722344.0,2,0,-1333800.0,885,1.4079,2.0868,2616055.0,734397.0,2.1855,1.6509
EURGBP,C_combo+bk0.25,1.4754,4578433.0,2969407.0,2,0,-1333800.0,704,1.2903,1.9647,2550677.0,693576.0,1.9717500000000001,1.6187
EURGBP,C_combo+b48_36,1.4647,4506994.0,2969407.0,2,0,-1333800.0,704,1.2884,1.9212,2489558.0,693576.0,1.9572,1.5251
