pair,htf_mode,threshold,n,z_in,is_pf,is_n,oos_pf,oos_n,oos_wr,oos_dd,wfo_min,d_oos_pf,n_retained
EURGBP,adx,20.0,80,2.0,1.000223298584756,402,0.812259421090238,316,0.5189873417721519,803.8541804820379,0.7001501492665668,-0.2171795119138028,0.5374149659863946
EURGBP,adx,25.0,80,2.0,0.9433573109848419,624,0.8060639397721477,393,0.5139949109414759,992.5161161173768,0.6521181979354668,-0.22337499323189303,0.6683673469387755
EURGBP,adx,30.0,80,2.0,0.9351481774198196,744,0.9253085515067463,472,0.548728813559322,610.2160229808748,0.879379541329007,-0.10413038149729448,0.8027210884353742
EURGBP,slope,0.5,80,2.0,0.794965026205826,434,0.7996132064735173,317,0.5488958990536278,979.2221039597159,0.6435761718361463,-0.22982572653052347,0.5391156462585034
EURGBP,slope,1.0,80,2.0,0.9747933136908099,721,0.919216729798004,497,0.5352112676056338,597.4761947700923,0.719485832262895,-0.11022220320603682,0.8452380952380952
EURGBP,slope,2.0,80,2.0,0.9309238163716842,883,1.0320833914224676,587,0.5604770017035775,301.27572780883145,0.9089377812674309,0.002644458418426865,0.9982993197278912
EURGBP,adx,20.0,80,2.5,1.0680490115858459,263,0.8361387061247507,236,0.4661016949152542,487.658374085275,0.5239701733755351,-0.2458452492078087,0.5526932084309133
EURGBP,adx,25.0,80,2.5,0.9713481284979194,425,0.8515987683254078,291,0.4570446735395189,569.9570243682879,0.53007817168734,-0.2303851870071516,0.6814988290398126
EURGBP,adx,30.0,80,2.5,1.0168931953037899,519,0.9849650298651593,352,0.4914772727272727,387.60492893214223,0.7322130109511626,-0.0970189254674001,0.8243559718969555
EURGBP,slope,0.5,80,2.5,0.8042771562730204,296,0.7833624055217392,233,0.4978540772532189,727.225579547198,0.5027886578375163,-0.29862154981082023,0.5456674473067916
EURGBP,slope,1.0,80,2.5,1.0398006114506086,500,0.9902248353008555,372,0.489247311827957,509.34555284633404,0.6284498031682084,-0.09175912003170394,0.8711943793911007
EURGBP,slope,2.0,80,2.5,1.0014389156475665,625,1.0858957137270342,426,0.5046948356807511,367.5974284777824,0.7784145458561705,0.003911758394474774,0.9976580796252927
