pair,sizing_mode,n,z_in,z_tp,z_stop,max_hold,is_pf,is_n,is_net,is_dd,oos_pf,oos_n,oos_net,oos_dd,oos_wr,oos_avglot,wfo_min
AUDCAD,combo,40,2.5,1.0,4.0,48,0.9849819312584464,886,-128.64724572187026,887.7129106408654,1.153658776799018,600,775.079744684557,364.1840070217083,0.5766666666666667,1.1918001608384141,0.9354037994536972
AUDCAD,fixed,80,2.0,0.0,4.0,24,1.000498177710177,871,6.656579342830682,957.3440343751131,1.217226334637902,574,1549.8941883852235,496.6289420235206,0.5592334494773519,1.0,1.0201074456252952
AUDCAD,zscale,80,2.0,0.0,4.0,24,1.0253882677225092,871,499.9854832572786,1188.778246724155,1.2565923239068664,574,2667.22088897312,987.4729409097538,0.5592334494773519,1.5373082660646469,1.003018301771911
AUDCAD,voladj,80,2.0,0.0,4.0,24,0.9398762233476996,871,-681.1044399832324,1011.0756774477118,1.2085248643053317,574,1211.644508362693,279.9107210117595,0.5592334494773519,0.8222996515679443,1.0006919384674609
AUDCAD,combo,80,2.0,0.0,4.0,24,0.9604922109061332,871,-648.4503184175967,1278.8828697539352,1.2617999465582466,574,2159.4460838973755,534.6522102258928,0.5592334494773519,1.2482927423455012,1.0473365550854659
AUDCAD,fixed,80,2.0,0.0,4.0,48,1.0165722433877844,779,221.78867316068389,696.7800956069174,1.3243357295200078,521,2275.603433304147,552.4823875322879,0.6103646833013435,1.0,1.0071168090031728
AUDCAD,zscale,80,2.0,0.0,4.0,48,1.0325490111244213,779,653.2023410066749,1284.387539553336,1.3592196303222297,521,3727.0608257079966,1003.7517411125937,0.6103646833013435,1.5644348294796273,1.0167831967410506
AUDCAD,voladj,80,2.0,0.0,4.0,48,0.9938002499324858,779,-68.07417004580478,737.3534108533505,1.2930769609084303,521,1688.8539163945134,413.2199999999955,0.6103646833013435,0.8186180422264875,1.0344884467550355
AUDCAD,combo,80,2.0,0.0,4.0,48,1.0069995081184469,779,112.74727462346988,1165.61157527282,1.3463251305722437,521,2876.0109852879114,479.3216384900436,0.6103646833013435,1.2647862552180298,1.0947386123866552
AUDCAD,fixed,80,2.0,1.0,4.0,24,0.9622254203673317,978,-424.6175349228279,984.8149530959823,1.2615451764135295,657,1487.8946839539992,334.48683545363315,0.684931506849315,1.0,1.135050883714762
AUDCAD,zscale,80,2.0,1.0,4.0,24,0.9791353327424451,978,-350.7525763309688,1303.202125920491,1.277650798596159,657,2347.1125184264865,652.7991870585427,0.684931506849315,1.5003164651658614,1.1587805291649982
AUDCAD,voladj,80,2.0,1.0,4.0,24,0.9255595613036037,978,-692.41920282865,939.6221172694247,1.2472746200696676,657,1151.9420701740762,265.5236976021124,0.684931506849315,0.8211567732115678,1.067348264264863
AUDCAD,combo,80,2.0,1.0,4.0,24,0.9417521534747523,978,-794.9656884826953,1323.0541731815706,1.2602453683184087,657,1764.5732665180658,387.60245942758576,0.684931506849315,1.2180008045373802,1.0946598498190283
AUDCAD,fixed,80,2.0,1.0,4.0,48,0.9875012747560502,937,-129.34307222605707,807.5373291891806,1.3239988685796296,640,1698.5049032387865,331.2368213913205,0.6890625,1.0,1.1945037349795942
AUDCAD,zscale,80,2.0,1.0,4.0,48,1.0071263856709407,937,111.13148571034685,1229.471634319874,1.3449168920430212,640,2706.2998279645567,648.7589160584303,0.6890625,1.508589113598981,1.2410198479631245
AUDCAD,voladj,80,2.0,1.0,4.0,48,0.9495593658388466,937,-429.1400574234658,788.895423039952,1.2982623575009582,640,1282.6189930910496,305.818156841206,0.6890625,0.81875,1.1036468601806741
AUDCAD,combo,80,2.0,1.0,4.0,48,0.9735398060649765,937,-331.19167928875015,1231.877145578329,1.3216759469148478,640,2021.5079276443273,329.97360860785875,0.6890625,1.2217211320768946,1.1535157032981098
AUDCAD,fixed,80,2.5,0.0,4.0,24,1.0875416239226878,575,739.4605583698327,624.7084671069521,1.2408538778984575,368,1116.6421546429028,398.62894202352095,0.5,1.0,0.9203225907839512
AUDCAD,zscale,80,2.5,0.0,4.0,24,1.104352937394945,575,1251.3299936391209,795.0786232216171,1.277274323669609,368,1815.8917853324283,667.3371429367696,0.5,1.513228217929533,0.9883450626421127
AUDCAD,voladj,80,2.5,0.0,4.0,24,1.0698462657150427,575,485.04585990793237,499.0629431565162,1.2407347106152677,368,882.7555333412257,280.34577184535294,0.5,0.813858695652174,1.066041280887713
AUDCAD,combo,80,2.5,0.0,4.0,24,1.0692106983904979,575,677.1094531155197,761.424685207749,1.2637797431409326,368,1355.0239079472772,450.27693237537625,0.5,1.2175153260541913,0.9884227113269515
AUDCAD,fixed,80,2.5,0.0,4.0,48,1.0466352970616666,551,432.37151406377234,712.3196509820314,1.408288276425874,359,1890.4271546428993,462.3173875322798,0.5403899721448467,1.0,0.9432354674908119
AUDCAD,zscale,80,2.5,0.0,4.0,48,1.0885280477845753,551,1145.1403915139867,803.4491216223406,1.4420719123084271,359,2910.4379673672465,642.5897097095931,0.5403899721448467,1.5174934526461354,1.0562157582536493
AUDCAD,voladj,80,2.5,0.0,4.0,48,1.050626599008859,551,375.7555656018706,675.1180696528523,1.4105575699184063,359,1504.2911583412224,298.3063968453487,0.5403899721448467,0.8119777158774373,1.089769579039528
AUDCAD,combo,80,2.5,0.0,4.0,48,1.0822311879092796,551,840.5952910704201,879.6440404541204,1.445840563136676,359,2289.8129961039963,433.1886639616714,0.5403899721448467,1.217852524559952,1.1785218033986706
AUDCAD,fixed,80,2.5,1.0,4.0,24,0.9829117990123681,594,-126.41586236492236,773.0160381883982,1.197068334466538,386,768.547163292163,285.22894202352165,0.5932642487046632,1.0,1.0678826095666298
AUDCAD,zscale,80,2.5,1.0,4.0,24,1.0018535187684088,594,19.779802140277866,912.5760473412529,1.223325148269216,386,1250.7633985824557,448.17876753149915,0.5932642487046632,1.5043615830858108,0.9830488475415297
AUDCAD,voladj,80,2.5,1.0,4.0,24,0.9762711432012173,594,-142.03017631881562,538.6259308737655,1.1749170906046993,386,537.6754270862931,235.906050356382,0.5932642487046632,0.8095854922279793,0.9094391841239271
AUDCAD,combo,80,2.5,1.0,4.0,24,0.9796875065567284,594,-174.13158650925635,840.9133119591071,1.1839175926547598,386,808.4287153383823,402.31110410661495,0.5932642487046632,1.206160528791946,0.8303949697345213
AUDCAD,fixed,80,2.5,1.0,4.0,48,1.0379060168769971,586,259.1511045990453,588.3411611053133,1.319904697304982,384,1122.760712404995,285.22894202352165,0.6041666666666666,1.0,1.1760615214305055
AUDCAD,zscale,80,2.5,1.0,4.0,48,1.0660069386353423,586,649.660666270008,872.7493484663439,1.3472752319735162,384,1759.7654393683524,448.17876753149915,0.6041666666666666,1.5065083980199596,1.0984467365482717
AUDCAD,voladj,80,2.5,1.0,4.0,48,1.0361074475430534,586,198.0541550492508,520.5196765401047,1.305031390867583,384,842.2377430631503,245.3138427986745,0.6041666666666666,0.8098958333333334,1.0312542922723391
