pair,exit_mode,z_stop,vt_th,is_pf,oos_pf,full_pf,wfo_min,oos_net,oos_dd,oos_avglot,sign_reversal,selectable
AUDNZD,B,5.0,0.6,1.037985519322399,1.2595627607910704,1.1134917907921116,0.9754581317574532,253.92615099414482,165.12812042767928,0.3224598930481284,False,True
AUDNZD,B,5.0,0.7,1.0732671654242827,1.2303493568367239,1.1276138683548411,1.0236367761260512,240.47394703162374,187.87988838000592,0.3350267379679145,False,True
AUDNZD,B,5.0,0.8,1.0315773421663956,1.1924901355052757,1.0871201947990654,0.9202874112830616,219.66877744225448,207.76470331748556,0.35588235294117654,False,False
AUDNZD,B,5.0,0.9,1.0532908862499255,1.228248773102049,1.1135938182591896,0.9221534456077439,273.3943443164636,214.8829322805529,0.37620320855614986,False,True
CADCHF,A,4.0,1.01,1.2271896320120954,1.1965419980119556,1.2159016290435325,0.7113808824829166,269.088779946969,388.40991393811487,0.3628820960698691,False,False
CADCHF,A,4.0,0.5,1.3830227452701134,1.0835099456860906,1.2588289604895204,0.5931696766906154,88.36989059806517,344.54538522877624,0.26528384279475986,False,False
CADCHF,A,4.0,0.6,1.3059310357572673,1.1653797442280684,1.250610753815046,0.7787801019628767,176.0238676615736,332.1104706652675,0.2814410480349346,False,False
CADCHF,A,4.0,0.7,1.2449099177594618,1.1960334987071082,1.2265724571514414,0.7777401773486123,217.931282799876,331.0200063033327,0.29868995633187784,False,False
CADCHF,A,4.0,0.8,1.234658913770005,1.2084498148628922,1.2247407203390204,0.7847021533844746,246.12049381403554,318.6759510231294,0.3203056768558953,False,False
CADCHF,A,4.0,0.9,1.2801309395763834,1.211213173513711,1.2538992114733465,0.8349188428340774,264.68299559449997,311.5750655597708,0.34192139737991273,False,True
CADCHF,A,4.5,1.01,1.4148434811819248,1.0654078492159704,1.2798578289664908,0.7500327489376029,103.43633269285208,513.3362000211152,0.40631067961165057,False,False
CADCHF,A,4.5,0.5,1.5535214926579635,0.8966724002697033,1.257052072890638,0.5962954752671433,-135.19155326994178,502.8489238668689,0.29975728155339815,True,False
CADCHF,A,4.5,0.6,1.4743928154732193,0.9675046941719975,1.2575342856223113,0.6154466274754193,-42.61974076994268,472.6388518230939,0.316747572815534,True,False
CADCHF,A,4.5,0.7,1.4556890477388584,1.0345141990206788,1.2861155070533248,0.7258441328382575,45.709578631051386,458.74608372348365,0.3366504854368933,False,False
CADCHF,A,4.5,0.8,1.4533619444259165,1.0618218262590606,1.2959841321287018,0.7324328782022472,85.75711799517138,455.9851092808417,0.36043689320388356,False,False
CADCHF,A,4.5,0.9,1.4822976632849534,1.0487512599103248,1.3047021601446969,0.7702750247180549,72.15887094479245,467.7056041611128,0.38422330097087387,False,False
CADCHF,A,5.0,1.01,1.319153392610421,1.0577169988979513,1.2222991585997858,0.7136871250507908,96.36851227649186,523.093908727167,0.4309644670050762,False,False
CADCHF,A,5.0,0.5,1.5133099661130232,0.8932028048850753,1.2368526367140777,0.5533688645740981,-146.98158841877535,508.85639519733354,0.318274111675127,True,False
CADCHF,A,5.0,0.6,1.4188417540807738,0.9605570882449447,1.226409884341057,0.5716212437855741,-54.40977591877625,494.1363951973343,0.3360406091370559,True,False
CADCHF,A,5.0,0.7,1.4360917832025997,1.0244530086287849,1.2714619369289855,0.6774583940470319,34.1902240812234,485.2688951973342,0.3601522842639594,False,False
CADCHF,A,5.0,0.8,1.409862503743108,1.0350721763461481,1.261269489997714,0.6849330506347047,51.55152901749144,487.74459026106535,0.384010152284264,False,False
CADCHF,A,5.0,0.9,1.412009881069984,1.0314340292202937,1.2609547989354855,0.7200012308946978,48.78608136809563,491.10422994367457,0.40507614213197973,False,False
CADCHF,B,4.0,1.01,1.2533150882518458,1.240637285439024,1.2485670607811261,0.7496021579332492,298.6478975582354,330.20275751213944,0.3628820960698691,False,False
CADCHF,B,4.0,0.5,1.4162288358378985,1.131322674182253,1.2962551570668206,0.666819583774399,125.89078468241847,295.2460308033285,0.26528384279475986,False,False
CADCHF,B,4.0,0.6,1.3293810498278193,1.2005153674784088,1.277812326057353,0.8051063118819701,193.85905964848718,284.81232912148437,0.2814410480349346,False,True
CADCHF,B,4.0,0.7,1.273161658953124,1.214608258414746,1.250693930164715,0.8263688043928599,217.64423268503288,276.81315943558826,0.29868995633187784,False,True
CADCHF,B,4.0,0.8,1.2553540049202827,1.2550909329427298,1.255261009172926,0.8338271013464033,269.2014268670706,264.4691041553849,0.3203056768558953,False,True
CADCHF,B,4.0,0.9,1.284226331121927,1.2615228477204914,1.2755750905006378,0.9140416601581582,294.2421132057664,268.319784133795,0.34192139737991273,False,True
CADCHF,B,4.5,1.01,1.3323512876554855,1.2109117187821643,1.2920134340056677,0.8558789036418456,263.95819048739037,320.7782352984508,0.40631067961165057,False,True
CADCHF,B,4.5,0.5,1.4992614790862147,1.0637063869124872,1.3180295558341883,0.7314017838933937,64.48170605815159,313.06052865993934,0.29975728155339815,False,False
CADCHF,B,4.5,0.6,1.4158047991997622,1.1413327482916629,1.30949241572361,0.7703770190462754,143.50338185352507,290.65617614879045,0.316747572815534,False,False
CADCHF,B,4.5,0.7,1.392663519717551,1.2024399499664138,1.3247808742247351,0.8511124224829211,208.14116516015616,263.2474182505471,0.3366504854368933,False,True
CADCHF,B,4.5,0.8,1.3542127211447992,1.2330687328059342,1.313869924138516,0.8436429864418233,249.93686576166385,264.8547236846771,0.36043689320388356,False,True
CADCHF,B,4.5,0.9,1.367379665757817,1.2232998401386395,1.31742180570891,0.8909674276699059,256.5632755523644,275.1476394384483,0.38422330097087387,False,True
CADCHF,B,5.0,1.01,1.1875403044402577,1.1795004187568419,1.1894384386251768,0.8773904209354483,235.13489445205772,315.9209765133103,0.4309644670050762,False,False
CADCHF,B,5.0,0.5,1.3978545994547074,1.0397227563709868,1.252728375747744,0.6775719920495764,42.039849339206526,315.6683948769026,0.318274111675127,False,False
CADCHF,B,5.0,0.6,1.3030803644179583,1.1140454758574458,1.2335439733022786,0.7483521879367464,121.06152513458004,293.26404236575377,0.3360406091370559,False,False
CADCHF,B,5.0,0.7,1.308839796583384,1.171317866137344,1.2621462916405763,0.8293029870044322,184.29198342083683,265.8552844675104,0.3601522842639594,False,False
CADCHF,B,5.0,0.8,1.2611412340377097,1.1902178229913896,1.2403704247325325,0.8228589217934404,212.9118603308272,272.6992594080135,0.384010152284264,False,False
CADCHF,B,5.0,0.9,1.254919513859091,1.1884434984516274,1.2355423373798595,0.8681235314597199,224.43566972496996,279.1993920470843,0.40507614213197973,False,False
EURGBP,A,4.0,1.01,0.8858911519739457,1.6819873138944264,1.085905687574319,0.5777197530104489,689.7550955084333,201.37394447193378,0.3662393162393163,True,False
EURGBP,A,4.0,0.5,0.8439285602392484,1.5584030404051938,1.027867617429372,0.6301844856850175,418.4918238286889,150.57822186168954,0.26688034188034193,True,False
EURGBP,A,4.0,0.6,0.8469087751283227,1.5553508938249478,1.023898749900232,0.6276012882358819,431.7285302644808,150.30197186168942,0.2790598290598291,True,False
EURGBP,A,4.0,0.7,0.8711799966550423,1.5595946668703218,1.0432356005173717,0.643654995486175,452.2583948536278,147.50907756178992,0.28803418803418807,True,False
EURGBP,A,4.0,0.8,0.8952687690109201,1.6056781065349013,1.0780118657474385,0.6109000300029173,520.0533468008023,163.51249849342508,0.31431623931623937,True,False
EURGBP,A,4.0,0.9,0.945957369477307,1.6122894438267412,1.121715612492697,0.6372192590841549,550.4674095326856,164.97658926171408,0.33290598290598294,True,False
EURGBP,A,4.5,1.01,0.8896625405480122,1.4005902447415006,1.0191188050935263,0.5258044252130747,470.7509468247014,326.72266176343953,0.40817307692307697,True,False
EURGBP,A,4.5,0.5,0.812538849748846,1.415066091757411,0.9554621202534035,0.6296304264637609,334.9799626785913,203.83623274522878,0.29278846153846155,True,False
EURGBP,A,4.5,0.6,0.8280307729669577,1.4126314696005935,0.9653740876759646,0.6272856741729778,344.80746054385696,203.55998274522872,0.3060096153846154,True,False
EURGBP,A,4.5,0.7,0.8666176601602122,1.453510893422147,1.004486803431065,0.7120264877796161,390.10283554385705,198.03473274522875,0.31923076923076926,True,False
EURGBP,A,4.5,0.8,0.8973998019237464,1.4601998572818697,1.0366322804164068,0.6686217027953236,430.55928987495264,212.3414092181675,0.34975961538461536,True,False
EURGBP,A,4.5,0.9,0.9188281487854864,1.460164883520744,1.0550228238413426,0.6798369795586607,453.05546881356037,229.15970243924576,0.36899038461538464,True,False
EURGBP,A,5.0,1.01,0.8820308238918855,1.4871229890449136,1.0369903763117057,0.598926926506488,581.1620961389243,347.3006102865647,0.43743589743589756,True,False
EURGBP,A,5.0,0.5,0.8208070963938859,1.5374556135927682,0.9937161195657966,0.7578993719904991,435.14571575715763,218.21340648598658,0.3217948717948719,True,False
EURGBP,A,5.0,0.6,0.8345861636112122,1.5599339909083747,1.004611344890558,0.7496056726544903,464.1565524676082,217.93715648598646,0.33666666666666667,True,False
EURGBP,A,5.0,0.7,0.875300830800657,1.567854926289417,1.0385125481187605,0.8324816607646774,484.6654274676082,212.41190648598638,0.34769230769230774,True,False
EURGBP,A,5.0,0.8,0.9026357651300895,1.5501984782040241,1.0632629278233705,0.7512177561250708,513.8903906132705,228.36254385556896,0.3792307692307693,True,False
EURGBP,A,5.0,0.9,0.9271877280533969,1.5259122676994463,1.0787560185650407,0.7620905032726386,519.3028255450573,251.0333589237825,0.39717948717948726,True,False
