pair,grp,year,pf,net,n_tp,n_fs,n_b48,n_force,tp_fs_ratio,max_dd,worst,trend_atr,path_eff,rng_atr,gate_share
GBPJPY,ANCHOR_NOGO,2019,0.7371,-386732.0,38,1,0,1,38.0,1470900.0,-1470900.0,20.80972480162057,0.02590707118265026,105.58973493162087,0.035014455509155155
GBPJPY,ANCHOR_NOGO,2020,inf,1274893.0,40,0,0,0,40.0,0.0,0.0,11.618792744573483,0.014790124372704749,86.98483496877935,0.02672
GBPJPY,ANCHOR_NOGO,2021,0.3739,-1918525.0,37,2,0,2,18.5,2614696.0,-1579900.0,75.06776859504149,0.10114531584526795,96.19761248852166,0.026923076923076925
GBPJPY,ANCHOR_NOGO,2022,0.3577,-2002254.0,28,2,0,2,14.0,2716211.0,-1595500.0,8.894621775251416,0.011795458788956286,71.29777000437238,0.015865384615384615
GBPJPY,ANCHOR_NOGO,2023,0.5199,-2333307.0,53,2,2,4,13.25,2662814.0,-1491000.0,77.20806409924995,0.09743767724140448,120.5469113466003,0.0448336815040977
GBPJPY,ANCHOR_NOGO,2024,0.9007,-296049.0,60,2,0,2,30.0,1523300.0,-1523300.0,59.31578947368486,0.07406359389474737,100.20711500974765,0.04992798847815651
GBPJPY,ANCHOR_NOGO,2025,2.2864,2576496.0,103,1,1,2,51.5,1528100.0,-1528100.0,49.65874195146136,0.06768583715325364,94.38732045567149,0.09943775100401607
GBPJPY,ANCHOR_NOGO,2026,inf,686925.0,18,0,0,0,18.0,0.0,0.0,11.420835785756209,0.03474076023611673,38.576221306650694,0.04581299286518964
EURCHF,ANCHOR_NOGO,2015,0.9181,-470238.0,144,6,0,6,24.0,2077831.0,-1014560.0,78.62224399804013,0.09167546469590843,242.273395394414,0.1525614260478561
EURCHF,ANCHOR_NOGO,2016,inf,1227042.0,45,0,0,0,45.0,0.0,0.0,15.195979899497049,0.022544283413848388,58.04020100502441,0.03873859452537218
EURCHF,ANCHOR_NOGO,2017,1.1628,664524.0,213,3,3,6,35.5,1710194.0,-1025780.0,107.3186467348506,0.1449851190476185,126.12116443744648,0.19668969950184798
EURCHF,ANCHOR_NOGO,2018,0.8754,-335884.0,86,3,0,3,28.666666666666668,1652959.0,-917830.0,41.559344262295255,0.05906991309794115,75.44393442622972,0.06617410857693543
EURCHF,ANCHOR_NOGO,2019,1.0596,172301.0,138,2,2,4,34.5,1486522.0,-1051790.0,46.186046511626834,0.06659066523605142,77.37209302325411,0.12383552842916801
