pair,ci_th,atr_mult,max_levels,float_stop,is_pf,is_net,is_ntp,is_lev,oos_pf,oos_net,oos_ntp,oos_lev,oos_worst,oos_dd
GBPJPY,65.0,1.0,3,-2000000.0,1.3593,883545.0,88,4,1.1482,210476.0,68,3,-780901.0,842409.0
GBPJPY,65.0,1.0,3,-3000000.0,1.3593,883545.0,88,4,1.1482,210476.0,68,3,-780901.0,842409.0
GBPJPY,65.0,1.0,5,-500000.0,0.806,-941025.0,102,9,0.8617,-295357.0,76,4,-556302.0,1241838.0
GBPJPY,65.0,1.0,5,-750000.0,1.2616,828270.0,104,4,1.0673,116717.0,77,2,-936604.0,1303938.0
GBPJPY,65.0,1.0,5,-1000000.0,1.8171,1826763.0,107,2,0.762,-547346.0,73,2,-1262097.0,1879743.0
GBPJPY,65.0,1.0,5,-1500000.0,1.4781,1296014.0,104,2,0.8863,-224851.0,73,2,-1244003.0,1557248.0
GBPJPY,65.0,1.0,5,-2000000.0,1.3129,954916.0,104,2,0.8863,-224851.0,73,2,-1244003.0,1557248.0
GBPJPY,65.0,1.0,5,-3000000.0,3.9599,2994816.0,104,1,0.8863,-224851.0,73,2,-1244003.0,1557248.0
GBPJPY,65.0,1.0,7,-500000.0,0.806,-941025.0,102,9,0.8708,-275914.0,77,4,-556302.0,1222395.0
GBPJPY,65.0,1.0,7,-750000.0,1.2616,828270.0,104,4,1.0546,96975.0,78,2,-1016306.0,1343122.0
GBPJPY,65.0,1.0,7,-1000000.0,1.8171,1826763.0,107,2,0.8285,-382668.0,77,2,-1215602.0,1865901.0
GBPJPY,65.0,1.0,7,-1500000.0,1.2523,822908.0,106,2,1.3078,470100.0,83,1,-1527097.0,1527097.0
GBPJPY,65.0,1.0,7,-2000000.0,1.0022,8810.0,106,2,1.9375,966400.0,83,1,-1030797.0,1030797.0
GBPJPY,65.0,1.0,7,-3000000.0,inf,4139799.0,108,0,1.9375,966400.0,83,1,-1030797.0,1030797.0
GBPJPY,65.0,1.5,3,-500000.0,1.2396,509361.0,45,5,0.7732,-401526.0,38,4,-572401.0,1248186.0
GBPJPY,65.0,1.5,3,-750000.0,1.312,628883.0,46,4,1.0779,101605.0,39,3,-767697.0,837099.0
GBPJPY,65.0,1.5,3,-1000000.0,1.143,323816.0,45,4,1.3797,386901.0,39,3,-482401.0,551803.0
GBPJPY,65.0,1.5,3,-1500000.0,0.9753,-65582.0,45,4,1.3797,386901.0,39,3,-482401.0,551803.0
GBPJPY,65.0,1.5,3,-2000000.0,2.2999,1463116.0,45,3,1.3797,386901.0,39,3,-482401.0,551803.0
GBPJPY,65.0,1.5,3,-3000000.0,2.2999,1463116.0,45,3,1.3797,386901.0,39,3,-482401.0,551803.0
GBPJPY,65.0,1.5,5,-500000.0,1.0101,27058.0,47,5,0.6255,-875142.0,40,4,-727303.0,1588646.0
GBPJPY,65.0,1.5,5,-750000.0,1.2156,491296.0,49,3,0.942,-96012.0,43,2,-898203.0,1332166.0
GBPJPY,65.0,1.5,5,-1000000.0,1.3498,756097.0,52,2,1.6137,648818.0,47,1,-1057199.0,1057199.0
GBPJPY,65.0,1.5,5,-1500000.0,0.9083,-279705.0,49,2,1.9089,812316.0,47,1,-893701.0,893701.0
GBPJPY,65.0,1.5,5,-2000000.0,1.3754,756593.0,49,1,1.9089,812316.0,47,1,-893701.0,893701.0
GBPJPY,65.0,1.5,5,-3000000.0,inf,2977812.0,52,0,1.9089,812316.0,47,1,-893701.0,893701.0
GBPJPY,65.0,1.5,7,-500000.0,1.0101,27058.0,47,5,0.6255,-875142.0,40,4,-727303.0,1588646.0
GBPJPY,65.0,1.5,7,-750000.0,1.2156,491296.0,49,3,0.9542,-76240.0,44,2,-898203.0,1343465.0
GBPJPY,65.0,1.5,7,-1000000.0,1.3498,756097.0,52,2,1.6824,721472.0,49,1,-1057199.0,1057199.0
GBPJPY,65.0,1.5,7,-1500000.0,0.9281,-219352.0,50,2,inf,1942620.0,54,0,0.0,0.0
GBPJPY,65.0,1.5,7,-2000000.0,1.4054,816946.0,50,1,inf,1942620.0,54,0,0.0,0.0
GBPJPY,65.0,1.5,7,-3000000.0,inf,3038166.0,53,0,inf,1942620.0,54,0,0.0,0.0
GBPJPY,65.0,2.0,3,-500000.0,1.2831,536719.0,33,4,0.74,-446864.0,26,4,-572401.0,1235759.0
GBPJPY,65.0,2.0,3,-750000.0,1.3257,620858.0,34,3,1.039,49694.0,27,3,-767697.0,900254.0
GBPJPY,65.0,2.0,3,-1000000.0,1.2181,415917.0,31,3,1.3382,334991.0,27,3,-482401.0,614958.0
GBPJPY,65.0,2.0,3,-1500000.0,0.9809,-45283.0,31,3,1.3382,334991.0,27,3,-482401.0,614958.0
GBPJPY,65.0,2.0,3,-2000000.0,2.8446,1506318.0,31,2,1.3382,334991.0,27,3,-482401.0,614958.0
GBPJPY,65.0,2.0,3,-3000000.0,2.8446,1506318.0,31,2,1.3382,334991.0,27,3,-482401.0,614958.0
GBPJPY,65.0,2.0,5,-500000.0,1.1167,247332.0,32,4,0.8087,-320082.0,28,3,-660303.0,1157476.0
GBPJPY,65.0,2.0,5,-750000.0,1.5715,967941.0,36,2,0.806,-340964.0,29,2,-920697.0,1396827.0
GBPJPY,65.0,2.0,5,-1000000.0,1.2382,502157.0,35,2,1.531,562580.0,33,1,-1059398.0,1059398.0
GBPJPY,65.0,2.0,5,-1500000.0,0.8485,-466043.0,35,2,2.301,917080.0,33,1,-704898.0,704898.0
GBPJPY,65.0,2.0,5,-2000000.0,inf,2743287.0,37,0,2.301,917080.0,33,1,-704898.0,704898.0
GBPJPY,65.0,2.0,5,-3000000.0,inf,2743287.0,37,0,2.301,917080.0,33,1,-704898.0,704898.0
GBPJPY,65.0,2.0,7,-500000.0,1.1167,247332.0,32,4,0.8087,-320082.0,28,3,-660303.0,1157476.0
