pair,lb,adx,er_n,er_th,dir,full_pf,full_n,full_net,full_sh,full_dd,is_pf,is_n,oos_pf,oos_n,wfo_min,wfo_med,yr_pos,PASS
CHFJPY,60,25,0,0.0,both,0.644,162,-5314.6,-2.63,40.9,0.449,85,0.798,77,0.1,0.61,25.0,
CHFJPY,60,25,0,0.0,long,0.9,99,-897.6,-0.94,18.8,0.572,40,1.036,59,0.1,0.72,42.0,
CHFJPY,60,25,20,0.3,both,0.675,94,-2986.1,-1.77,19.1,0.625,52,0.713,42,0.0,1.21,33.0,
CHFJPY,60,25,20,0.3,long,0.835,60,-974.4,-0.76,10.7,0.848,25,0.83,35,0.0,1.21,50.0,
CHFJPY,60,25,20,0.4,both,0.628,66,-2249.2,-1.67,12.1,0.489,36,0.752,30,0.15,1.08,17.0,
CHFJPY,60,25,20,0.4,long,0.931,43,-251.3,-0.5,6.7,0.886,19,0.951,24,0.21,1.15,55.0,
CHFJPY,60,25,30,0.35,both,0.662,62,-1937.0,-1.85,15.7,0.334,37,1.129,25,0.23,1.29,27.0,
CHFJPY,60,25,30,0.35,long,1.135,39,422.0,-0.2,6.0,0.83,18,1.293,21,0.33,1.29,50.0,
CHFJPY,60,30,0,0.0,both,0.578,101,-4439.4,-2.83,28.5,0.319,55,0.833,46,0.03,0.68,25.0,
CHFJPY,60,30,0,0.0,long,0.835,66,-1065.0,-1.36,15.3,0.474,28,0.998,38,0.04,0.71,36.0,
CHFJPY,60,30,20,0.3,both,0.74,62,-1598.0,-1.15,10.0,0.462,35,1.011,27,0.05,1.16,36.0,
CHFJPY,60,30,20,0.3,long,1.032,43,123.6,-0.12,5.8,0.928,18,1.065,25,0.05,1.16,70.0,
CHFJPY,60,30,20,0.4,both,0.615,48,-1734.1,-1.86,11.8,0.277,27,1.02,21,0.07,1.05,27.0,
CHFJPY,60,30,20,0.4,long,0.92,33,-223.1,-0.74,5.4,0.526,14,1.105,19,0.1,1.05,40.0,
CHFJPY,60,30,30,0.35,both,0.624,52,-1832.7,-2.03,14.4,0.24,31,1.12,21,0.06,1.26,18.0,
CHFJPY,60,30,30,0.35,long,0.894,36,-333.0,-0.98,8.2,0.367,17,1.21,19,0.07,1.26,30.0,
CHFJPY,100,0,0,0.0,both,0.741,324,-6457.8,-1.88,51.3,0.744,200,0.739,124,0.34,0.59,33.0,
CHFJPY,100,0,0,0.0,long,0.871,186,-1797.7,-0.83,23.4,0.604,103,1.058,83,0.41,1.04,45.0,
CHFJPY,100,0,20,0.3,both,0.886,152,-1436.1,0.03,13.7,1.13,85,0.746,67,0.15,0.73,50.0,
CHFJPY,100,0,20,0.3,long,1.174,92,1173.4,0.86,7.7,1.121,44,1.194,48,0.15,1.69,55.0,
CHFJPY,100,0,20,0.4,both,0.587,100,-3854.6,-1.34,16.4,0.762,53,0.502,47,0.0,0.29,33.0,
CHFJPY,100,0,20,0.4,long,0.941,63,-283.7,0.08,7.7,1.034,28,0.906,35,0.0,0.53,45.0,
CHFJPY,100,0,30,0.35,both,0.591,70,-2682.2,-1.95,15.7,0.36,38,0.804,32,0.23,0.94,42.0,
CHFJPY,100,0,30,0.35,long,1.006,45,19.7,-0.21,6.8,0.689,21,1.183,24,0.29,1.12,36.0,
CHFJPY,100,20,0,0.0,both,0.728,231,-5314.3,-1.64,37.9,0.767,125,0.703,106,0.26,0.61,42.0,
CHFJPY,100,20,0,0.0,long,0.88,142,-1382.1,-0.74,19.6,0.616,68,1.023,74,0.3,1.06,55.0,
CHFJPY,100,20,20,0.3,both,0.826,126,-1882.1,-0.25,14.7,1.077,69,0.683,57,0.21,0.8,33.0,
CHFJPY,100,20,20,0.3,long,1.063,81,393.8,0.47,7.9,1.072,39,1.06,42,0.26,1.21,55.0,
CHFJPY,100,20,20,0.4,both,0.587,88,-3169.8,-1.41,13.2,0.662,48,0.543,40,0.0,0.21,33.0,
CHFJPY,100,20,20,0.4,long,0.892,59,-460.4,-0.17,7.1,0.954,27,0.867,32,0.0,0.39,45.0,
CHFJPY,100,20,30,0.35,both,0.592,64,-2444.5,-1.82,14.5,0.419,33,0.715,31,0.21,0.88,42.0,
CHFJPY,100,20,30,0.35,long,0.923,43,-260.8,-0.51,6.3,0.695,20,1.031,23,0.26,1.06,36.0,
CHFJPY,100,25,0,0.0,both,0.758,170,-3243.2,-1.61,31.4,0.623,88,0.852,82,0.21,0.91,25.0,
CHFJPY,100,25,0,0.0,long,0.942,106,-465.8,-0.61,17.0,0.619,46,1.087,60,0.17,0.91,45.0,
CHFJPY,100,25,20,0.3,both,0.636,96,-3236.1,-1.41,17.6,0.905,51,0.507,45,0.1,0.54,25.0,
CHFJPY,100,25,20,0.3,long,0.78,62,-1155.9,-0.49,10.2,1.123,28,0.691,34,0.11,0.47,45.0,
CHFJPY,100,25,20,0.4,both,0.449,67,-3580.6,-2.35,16.0,0.521,36,0.41,31,0.1,0.34,17.0,
CHFJPY,100,25,20,0.4,long,0.667,46,-1258.7,-1.05,8.4,0.734,21,0.64,25,0.18,0.54,36.0,
CHFJPY,100,25,30,0.35,both,0.536,62,-2651.3,-2.22,15.2,0.337,34,0.726,28,0.2,0.73,27.0,
CHFJPY,100,25,30,0.35,long,0.851,41,-466.1,-0.69,6.5,0.628,20,0.969,21,0.23,0.73,30.0,
CHFJPY,100,30,0,0.0,both,0.81,108,-1579.4,-1.23,20.6,0.43,63,1.249,45,0.21,2.83,27.0,
CHFJPY,100,30,0,0.0,long,0.984,70,-85.0,-0.55,13.4,0.516,34,1.248,36,0.07,6.06,45.0,
CHFJPY,100,30,20,0.3,both,0.703,69,-1739.8,-1.07,9.2,0.641,37,0.745,32,0.11,0.82,40.0,
