pair,grp,year,pf,net,n_tp,n_fs,n_b48,max_dd,worst,trend_atr,path_eff,rng_atr,gate_share
NZDJPY,NOGO,2019,1.0783,154164.0,123,1,2,1019100.0,-1019100.0,4.7100199071001425,0.006394007037191057,97.17319177173245,0.11869579184066817
NZDJPY,NOGO,2020,1.3367,718957.0,154,2,0,1424318.0,-1083200.0,7.851301115241606,0.009394014873856856,112.5724907063196,0.15136
NZDJPY,NOGO,2021,0.9124,-184075.0,94,2,0,1512411.0,-1065800.0,34.462727774709826,0.04477072328117781,68.453892876863,0.0798076923076923
NZDJPY,NOGO,2022,1.5167,1139950.0,114,2,0,1163307.0,-1195000.0,24.415631848064052,0.035383475361244816,66.15485756026247,0.09874959923052261
NZDJPY,NOGO,2023,1.0422,86593.0,92,2,0,1093586.0,-1045800.0,38.045754509459,0.051623417324808796,68.28156621205487,0.09575152880592211
NZDJPY,NOGO,2024,1.1472,579750.0,185,3,1,1821629.0,-1046400.0,7.369121140142486,0.009409846368121935,106.2935866983378,0.21244773238983597
NZDJPY,NOGO,2025,0.7709,-672346.0,99,2,1,1861493.0,-1062900.0,13.656799259944332,0.018080035662848888,74.81776133209921,0.08804627249357326
NZDJPY,NOGO,2026,1.3785,598143.0,86,1,1,1010900.0,-1010900.0,18.85870104115012,0.05680891546615931,39.84134853743159,0.1877581674802854
AUDNZD,NOGO,2015,0.6016,-294605.0,18,1,0,739440.0,-739440.0,10.022541780023364,0.013916801402257603,90.13758258841816,0.010923694779116465
AUDNZD,NOGO,2016,0.9018,-237831.0,91,3,1,1297961.0,-680310.0,17.56169749727963,0.024913985373191137,66.84047878128382,0.10051298493106765
AUDNZD,NOGO,2017,0.837,-108691.0,31,1,0,666810.0,-666810.0,45.379820390914745,0.06305686010543728,71.35340729001702,0.03004981520167122
AUDNZD,NOGO,2018,1.3668,299157.0,67,1,1,626310.0,-626310.0,43.03427895981066,0.06540492957746442,62.222222222221994,0.05412785094763893
AUDNZD,NOGO,2019,inf,461006.0,28,0,0,0.0,0.0,7.067158671586582,0.010751167067477616,77.87306273062624,0.018792161901702537
AUDNZD,NOGO,2020,inf,721835.0,42,0,0,0.0,0.0,24.81799100449795,0.03760814249363874,88.10554722638754,0.03456
AUDNZD,NOGO,2021,0.8081,-162816.0,48,1,1,635940.0,-635940.0,8.118996415770336,0.013998477297895719,66.92903225806275,0.05352564102564102
AUDNZD,NOGO,2022,1.3823,611335.0,133,2,1,630540.0,-630540.0,9.489829576690544,0.0158192525306957,78.49697636063708,0.15039281705948374
AUDNZD,NOGO,2023,inf,1379459.0,90,0,0,0.0,0.0,5.375930521091955,0.007498394931617967,45.856079404468296,0.07328833172613308
AUDNZD,NOGO,2024,1.0875,114011.0,109,0,4,466830.0,-466830.0,31.43974960876412,0.04682152028008111,66.85602503912405,0.09897172236503857
AUDNZD,NOGO,2025,0.9821,-32519.0,143,2,2,1254227.0,-668880.0,60.8542159180462,0.09831040136878834,109.16469661150636,0.1561947613691146
AUDNZD,NOGO,2026,0.5275,-295312.0,20,1,0,625050.0,-625050.0,51.785243741764376,0.16617342408996696,70.10144927536103,0.027985074626865673
EURCHF,NOGO,2015,1.6468,2139954.0,148,2,1,1712513.0,-1275510.0,78.62224399804013,0.09167546469590843,242.273395394414,0.1525614260478561
EURCHF,NOGO,2016,inf,1227042.0,45,0,0,0.0,0.0,15.195979899497049,0.022544283413848388,58.04020100502441,0.03873859452537218
EURCHF,NOGO,2017,0.9783,-105406.0,213,3,3,2517864.0,-1240660.0,107.3186467348506,0.1449851190476185,126.12116443744648,0.19668969950184798
EURCHF,NOGO,2018,0.9958,-10127.0,87,2,0,1907801.0,-1202240.0,41.559344262295255,0.05906991309794115,75.44393442622972,0.06617410857693543
EURCHF,NOGO,2019,1.4266,930671.0,140,1,2,1716557.0,-1219240.0,46.186046511626834,0.06659066523605142,77.37209302325411,0.12383552842916801
EURCHF,NOGO,2020,5.3088,2687554.0,126,0,1,623730.0,-623730.0,4.1553556827475315,0.006634984463535047,46.97955846279821,0.11568
EURCHF,NOGO,2021,0.6495,-1250131.0,114,1,3,1462036.0,-1235390.0,57.172033118674335,0.0786763793622942,106.30726770929017,0.10336538461538461
EURCHF,NOGO,2022,1.1046,332253.0,109,2,1,1522362.0,-1373600.0,34.4451682953312,0.04718474096285183,91.53203040173723,0.1076923076923077
EURCHF,NOGO,2023,1.0418,148307.0,160,2,2,1647840.0,-1213290.0,63.819920318726176,0.08874996121746122,94.03984063745173,0.1352524927629463
EURCHF,NOGO,2024,1.043,90725.0,96,1,2,1466523.0,-1288940.0,13.708333333333291,0.018147742224835995,81.41987179487147,0.09185469675148024
EURCHF,NOGO,2025,2.7259,1572312.0,114,0,2,574770.0,-574770.0,8.905759162303582,0.012635848369819574,58.9808027923204,0.116144578313253
EURCHF,NOGO,2026,1.0559,52566.0,66,0,2,742633.0,-788970.0,17.563636363636032,0.052954719877206506,55.25133689839449,0.12276119402985075
USDJPY,NOGO,2015,1.1818,108907.0,25,0,1,599200.0,-599200.0,17.458742632613085,0.040114386829715305,62.55992141453869,0.027960057061340943
USDJPY,NOGO,2016,0.6975,-573914.0,45,2,0,1081525.0,-999000.0,16.366678285116762,0.019872611464968156,110.92157546183344,0.035051216389244556
USDJPY,NOGO,2017,inf,349618.0,11,0,0,0.0,0.0,26.59813084112187,0.032433541250389414,70.3177570093467,0.004178049172424875
USDJPY,NOGO,2018,1.828,373936.0,33,0,1,451600.0,-451600.0,23.51937984496095,0.02998468152394135,76.89147286821604,0.018952778670093158
USDJPY,NOGO,2019,1.3074,118107.0,32,0,1,384200.0,-384200.0,10.39318665720392,0.013432471651834504,78.95244854506865,0.02313253012048193
USDJPY,NOGO,2020,1.1498,73971.0,34,0,1,493800.0,-493800.0,49.51174934725774,0.05187965605071146,100.92428198433254,0.02256
USDJPY,NOGO,2021,1.0653,84625.0,94,1,1,886000.0,-886000.0,115.72878998609103,0.14612528888233262,125.89290681502014,0.06169871794871795
USDJPY,NOGO,2022,0.4279,-896486.0,27,1,2,1394657.0,-899100.0,72.30505735983171,0.08181967112403506,174.0668928744541,0.038461538461538464
USDJPY,NOGO,2023,0.7806,-193718.0,22,1,0,883000.0,-883000.0,47.016436554897666,0.057534508878538955,113.62458908612645,0.015421686746987951
USDJPY,NOGO,2024,0.2453,-686071.0,13,1,0,909100.0,-909100.0,74.88553624139045,0.08625642878540932,102.72941948179718,0.011521843494959194
USDJPY,NOGO,2025,3.3713,2173804.0,84,1,0,874936.0,-916700.0,2.4993917274939617,0.0029845434207851243,80.86618004866091,0.054779116465863455
USDJPY,NOGO,2026,0.8339,-64689.0,11,0,1,388400.0,-388400.0,19.35215566577651,0.05687955287616164,46.09156810377762,0.034923019151333085
EURUSD,NOGO,2015,0.7099,-235484.0,15,0,1,811735.0,-811735.0,19.703119128147616,0.04358350693030146,62.70800450958381,0.02716763005780347
EURUSD,NOGO,2016,0.6834,-735940.0,33,2,0,2110264.0,-1201095.0,23.462345090562593,0.030395241882499313,84.34032411820871,0.01905219340377842
EURUSD,NOGO,2017,0.5067,-842347.0,30,0,2,1330631.0,-925505.0,110.38977635782605,0.13670984240700915,130.60702875399195,0.026188946015424163
EURUSD,NOGO,2018,inf,746491.0,21,0,0,0.0,0.0,36.39735724398337,0.04823950753496038,88.51250589900981,0.019270916974466035
EURUSD,NOGO,2019,inf,75446.0,3,0,0,0.0,0.0,26.691785983421124,0.03468984807766161,72.86963074604304,0.004336652746546739
EURUSD,NOGO,2020,1.055,64331.0,38,1,0,1169630.0,-1169630.0,70.24943538268491,0.09017036589435351,117.64918444165575,0.03024
EURUSD,NOGO,2021,0.987,-31028.0,87,1,2,1302980.0,-1132430.0,77.08005082591859,0.10023711757561733,103.48792884370677,0.06955128205128205
EURUSD,NOGO,2022,0.5969,-2355325.0,96,4,1,3122342.0,-1395775.0,37.58189827793307,0.049379350988986666,109.8414096916288,0.07564102564102564
EURUSD,NOGO,2023,1.2668,523762.0,65,1,1,1224655.0,-1224655.0,26.514568444201085,0.0321328968109614,63.67344694887557,0.05108433734939759
EURUSD,NOGO,2024,0.6172,-502659.0,27,0,2,927155.0,-851415.0,69.2188841201721,0.08399460451325168,88.27610872675321,0.01952
EURUSD,NOGO,2025,1.804,430086.0,30,0,1,534905.0,-534905.0,99.72848360655853,0.12433162252543829,124.8954918032802,0.026987951807228915
EURUSD,NOGO,2026,0.8236,-296974.0,56,0,2,1163602.0,-843355.0,14.358762886597905,0.03825785044059186,55.373195876288044,0.10436713545521836
