run,rsi_buy_max,rsi_sell_min,bw_ratio,bw_lookback,sl_atr_mult,rr,PF,WR,N,MaxDD,avg_win,avg_loss,delta_pf,verdict
108,55,40,1.0,30,3.0,2.0,2.847,50.0,2,82.3,234.2,82.3,1.202,REJECT
109,55,40,1.2,10,2.0,1.5,3.682,75.0,4,72.9,89.5,72.9,2.037,REJECT
110,55,40,1.2,10,2.0,2.0,4.91,75.0,4,72.9,119.4,72.9,3.265,REJECT
111,55,40,1.2,10,2.5,1.5,3.682,75.0,4,91.2,111.9,91.2,2.037,REJECT
112,55,40,1.2,10,2.5,2.0,4.91,75.0,4,91.2,149.2,91.2,3.265,REJECT
113,55,40,1.2,10,3.0,1.5,99.0,100.0,3,0.0,134.3,0.0,97.355,REJECT
114,55,40,1.2,10,3.0,2.0,99.0,100.0,3,0.0,179.1,0.0,97.355,REJECT
145,55,45,0.8,10,2.0,1.5,0.611,30.0,10,325.3,79.0,55.4,-1.034,REJECT
146,55,45,0.8,10,2.0,2.0,0.815,30.0,10,325.3,105.4,55.4,-0.83,REJECT
147,55,45,0.8,10,2.5,1.5,0.611,30.0,10,406.7,98.8,69.3,-1.034,REJECT
148,55,45,0.8,10,2.5,2.0,0.815,30.0,10,406.7,131.7,69.3,-0.83,REJECT
149,55,45,0.8,10,3.0,1.5,1.311,44.4,9,378.6,124.1,75.7,-0.334,REJECT
150,55,45,0.8,10,3.0,2.0,1.748,44.4,9,378.6,165.4,75.7,0.103,REJECT
151,55,45,0.8,20,2.0,1.5,0.667,33.3,6,255.8,85.3,63.9,-0.978,REJECT
152,55,45,0.8,20,2.0,2.0,0.889,33.3,6,255.8,113.7,63.9,-0.756,REJECT
153,55,45,0.8,20,2.5,1.5,0.667,33.3,6,319.7,106.6,79.9,-0.978,REJECT
154,55,45,0.8,20,2.5,2.0,0.889,33.3,6,319.7,142.1,79.9,-0.756,REJECT
155,55,45,0.8,20,3.0,1.5,2.198,60.0,5,180.4,132.2,90.2,0.553,REJECT
156,55,45,0.8,20,3.0,2.0,2.93,60.0,5,180.4,176.2,90.2,1.285,REJECT
157,55,45,0.8,30,2.0,1.5,0.614,28.6,7,277.9,85.3,55.6,-1.031,REJECT
158,55,45,0.8,30,2.0,2.0,0.818,28.6,7,277.9,113.7,55.6,-0.827,REJECT
159,55,45,0.8,30,2.5,1.5,0.614,28.6,7,347.4,106.6,69.5,-1.031,REJECT
160,55,45,0.8,30,2.5,2.0,0.818,28.6,7,347.4,142.1,69.5,-0.827,REJECT
161,55,45,0.8,30,3.0,1.5,1.856,50.0,6,213.6,132.2,71.2,0.211,REJECT
162,55,45,0.8,30,3.0,2.0,2.475,50.0,6,213.6,176.2,71.2,0.83,REJECT
163,55,45,1.0,10,2.0,1.5,0.764,33.3,6,223.1,85.3,55.8,-0.881,REJECT
164,55,45,1.0,10,2.0,2.0,1.019,33.3,6,223.1,113.7,55.8,-0.626,REJECT
165,55,45,1.0,10,2.5,1.5,0.764,33.3,6,278.8,106.6,69.7,-0.881,REJECT
166,55,45,1.0,10,2.5,2.0,1.019,33.3,6,278.8,142.1,69.7,-0.626,REJECT
167,55,45,1.0,10,3.0,1.5,3.018,60.0,5,131.4,132.2,65.7,1.373,REJECT
168,55,45,1.0,10,3.0,2.0,4.024,60.0,5,131.4,176.2,65.7,2.379,REJECT
169,55,45,1.0,20,2.0,1.5,0.0,0.0,1,54.8,0.0,54.8,-1.645,REJECT
170,55,45,1.0,20,2.0,2.0,0.0,0.0,1,54.8,0.0,54.8,-1.645,REJECT
171,55,45,1.0,20,2.5,1.5,0.0,0.0,1,68.6,0.0,68.6,-1.645,REJECT
172,55,45,1.0,20,2.5,2.0,0.0,0.0,1,68.6,0.0,68.6,-1.645,REJECT
173,55,45,1.0,20,3.0,1.5,0.0,0.0,1,82.3,0.0,82.3,-1.645,REJECT
174,55,45,1.0,20,3.0,2.0,0.0,0.0,1,82.3,0.0,82.3,-1.645,REJECT
175,55,45,1.0,30,2.0,1.5,0.0,0.0,1,54.8,0.0,54.8,-1.645,REJECT
176,55,45,1.0,30,2.0,2.0,0.0,0.0,1,54.8,0.0,54.8,-1.645,REJECT
177,55,45,1.0,30,2.5,1.5,0.0,0.0,1,68.6,0.0,68.6,-1.645,REJECT
178,55,45,1.0,30,2.5,2.0,0.0,0.0,1,68.6,0.0,68.6,-1.645,REJECT
179,55,45,1.0,30,3.0,1.5,0.0,0.0,1,82.3,0.0,82.3,-1.645,REJECT
180,55,45,1.0,30,3.0,2.0,0.0,0.0,1,82.3,0.0,82.3,-1.645,REJECT
181,55,45,1.2,10,2.0,1.5,2.338,66.7,3,72.9,85.3,72.9,0.693,REJECT
182,55,45,1.2,10,2.0,2.0,3.117,66.7,3,72.9,113.7,72.9,1.472,REJECT
183,55,45,1.2,10,2.5,1.5,2.338,66.7,3,91.2,106.6,91.2,0.693,REJECT
184,55,45,1.2,10,2.5,2.0,3.117,66.7,3,91.2,142.1,91.2,1.472,REJECT
185,55,45,1.2,10,3.0,1.5,99.0,100.0,2,0.0,127.9,0.0,97.355,REJECT
186,55,45,1.2,10,3.0,2.0,99.0,100.0,2,0.0,170.5,0.0,97.355,REJECT
217,60,35,0.8,10,2.0,1.5,1.341,44.0,25,301.7,92.3,54.1,-0.304,REJECT
218,60,35,0.8,10,2.0,2.0,1.788,44.0,25,234.4,123.1,54.1,0.143,REJECT
219,60,35,0.8,10,2.5,1.5,1.637,48.0,25,287.2,116.9,66.0,-0.008,REJECT
220,60,35,0.8,10,2.5,2.0,1.844,44.0,25,286.6,156.4,66.6,0.199,REJECT
221,60,35,0.8,10,3.0,1.5,2.068,54.2,24,343.9,136.6,78.0,0.423,REJECT
222,60,35,0.8,10,3.0,2.0,2.758,54.2,24,343.9,182.1,78.0,1.113,REJECT
223,60,35,0.8,20,2.0,1.5,1.323,44.4,18,294.6,97.1,58.7,-0.322,REJECT
224,60,35,0.8,20,2.0,2.0,1.764,44.4,18,223.3,129.4,58.7,0.119,REJECT
225,60,35,0.8,20,2.5,1.5,1.714,50.0,18,215.5,122.7,71.6,0.069,REJECT
226,60,35,0.8,20,2.5,2.0,1.836,44.4,18,238.6,165.2,72.0,0.191,REJECT
227,60,35,0.8,20,3.0,1.5,2.351,58.8,17,286.3,141.7,86.1,0.706,REJECT
228,60,35,0.8,20,3.0,2.0,3.135,58.8,17,286.3,188.9,86.1,1.49,REJECT
229,60,35,0.8,30,2.0,1.5,1.262,41.2,17,245.3,96.9,53.8,-0.383,REJECT
230,60,35,0.8,30,2.0,2.0,1.683,41.2,17,181.0,129.2,53.8,0.038,REJECT
231,60,35,0.8,30,2.5,1.5,1.262,41.2,17,306.6,121.1,67.2,-0.383,REJECT
232,60,35,0.8,30,2.5,2.0,1.31,35.3,17,285.2,163.3,68.0,-0.335,REJECT
233,60,35,0.8,30,3.0,1.5,1.744,50.0,16,286.3,138.6,79.5,0.099,REJECT
234,60,35,0.8,30,3.0,2.0,2.326,50.0,16,286.3,184.9,79.5,0.681,REJECT
235,60,35,1.0,10,2.0,1.5,1.503,43.8,16,314.9,100.7,52.1,-0.142,REJECT
236,60,35,1.0,10,2.0,2.0,2.004,43.8,16,290.3,134.2,52.1,0.359,REJECT
237,60,35,1.0,10,2.5,1.5,1.503,43.8,16,393.6,125.9,65.1,-0.142,REJECT
238,60,35,1.0,10,2.5,2.0,2.004,43.8,16,362.9,167.8,65.1,0.359,REJECT
239,60,35,1.0,10,3.0,1.5,2.904,60.0,15,253.3,142.8,73.7,1.259,REJECT
240,60,35,1.0,10,3.0,2.0,3.872,60.0,15,253.3,190.3,73.7,2.227,REJECT
241,60,35,1.0,20,2.0,1.5,3.043,57.1,7,56.2,113.8,49.9,1.398,REJECT
242,60,35,1.0,20,2.0,2.0,4.058,57.1,7,56.2,151.8,49.9,2.413,REJECT
243,60,35,1.0,20,2.5,1.5,3.043,57.1,7,70.2,142.3,62.3,1.398,REJECT
244,60,35,1.0,20,2.5,2.0,4.058,57.1,7,70.2,189.7,62.3,2.413,REJECT
245,60,35,1.0,20,3.0,1.5,4.622,71.4,7,84.3,154.0,83.3,2.977,REJECT
246,60,35,1.0,20,3.0,2.0,6.163,71.4,7,84.3,205.3,83.3,4.518,REJECT
247,60,35,1.0,30,2.0,1.5,1.121,28.6,7,169.0,147.1,52.5,-0.524,REJECT
248,60,35,1.0,30,2.0,2.0,1.495,28.6,7,169.0,196.1,52.5,-0.15,REJECT
249,60,35,1.0,30,2.5,1.5,1.121,28.6,7,211.3,183.9,65.6,-0.524,REJECT
250,60,35,1.0,30,2.5,2.0,1.495,28.6,7,211.3,245.1,65.6,-0.15,REJECT
251,60,35,1.0,30,3.0,1.5,1.573,42.9,7,195.6,176.0,83.9,-0.072,REJECT
252,60,35,1.0,30,3.0,2.0,2.097,42.9,7,195.6,234.7,83.9,0.452,REJECT
253,60,35,1.2,10,2.0,1.5,1.701,50.0,8,133.2,87.7,51.5,0.056,REJECT
254,60,35,1.2,10,2.0,2.0,2.268,50.0,8,133.2,116.9,51.5,0.623,REJECT
255,60,35,1.2,10,2.5,1.5,1.701,50.0,8,166.5,109.6,64.4,0.056,REJECT
256,60,35,1.2,10,2.5,2.0,2.268,50.0,8,166.5,146.1,64.4,0.623,REJECT
257,60,35,1.2,10,3.0,1.5,4.318,71.4,7,141.9,122.6,71.0,2.673,REJECT
258,60,35,1.2,10,3.0,2.0,5.757,71.4,7,141.9,163.4,71.0,4.112,REJECT
259,60,35,1.2,20,2.0,1.5,0.0,0.0,2,94.8,0.0,47.4,-1.645,REJECT
260,60,35,1.2,20,2.0,2.0,0.0,0.0,2,94.8,0.0,47.4,-1.645,REJECT
261,60,35,1.2,20,2.5,1.5,0.0,0.0,2,118.5,0.0,59.2,-1.645,REJECT
262,60,35,1.2,20,2.5,2.0,0.0,0.0,2,118.5,0.0,59.2,-1.645,REJECT
263,60,35,1.2,20,3.0,1.5,1.03,50.0,2,84.3,86.8,84.3,-0.615,REJECT
264,60,35,1.2,20,3.0,2.0,1.373,50.0,2,84.3,115.8,84.3,-0.272,REJECT
265,60,35,1.2,30,2.0,1.5,0.0,0.0,2,94.8,0.0,47.4,-1.645,REJECT
266,60,35,1.2,30,2.0,2.0,0.0,0.0,2,94.8,0.0,47.4,-1.645,REJECT
267,60,35,1.2,30,2.5,1.5,0.0,0.0,2,118.5,0.0,59.2,-1.645,REJECT
268,60,35,1.2,30,2.5,2.0,0.0,0.0,2,118.5,0.0,59.2,-1.645,REJECT
269,60,35,1.2,30,3.0,1.5,1.03,50.0,2,84.3,86.8,84.3,-0.615,REJECT
270,60,35,1.2,30,3.0,2.0,1.373,50.0,2,84.3,115.8,84.3,-0.272,REJECT
271,60,35,1.5,10,2.0,1.5,0.0,0.0,1,56.2,0.0,56.2,-1.645,REJECT
272,60,35,1.5,10,2.0,2.0,0.0,0.0,1,56.2,0.0,56.2,-1.645,REJECT
273,60,35,1.5,10,2.5,1.5,0.0,0.0,1,70.2,0.0,70.2,-1.645,REJECT
274,60,35,1.5,10,2.5,2.0,0.0,0.0,1,70.2,0.0,70.2,-1.645,REJECT
275,60,35,1.5,10,3.0,1.5,0.0,0.0,1,84.3,0.0,84.3,-1.645,REJECT
276,60,35,1.5,10,3.0,2.0,0.0,0.0,1,84.3,0.0,84.3,-1.645,REJECT
277,60,35,1.5,20,2.0,1.5,0.0,0.0,2,94.8,0.0,47.4,-1.645,REJECT
278,60,35,1.5,20,2.0,2.0,0.0,0.0,2,94.8,0.0,47.4,-1.645,REJECT
279,60,35,1.5,20,2.5,1.5,0.0,0.0,2,118.5,0.0,59.2,-1.645,REJECT
280,60,35,1.5,20,2.5,2.0,0.0,0.0,2,118.5,0.0,59.2,-1.645,REJECT
