time,dir,pnl,reason,entry,hold_h,pair
2017-01-08 20:00:00,long,0.11199999999998568,Tmax,117.02600000000001,48.0,USDJPY
2017-03-01 00:00:00,short,-0.5338214285714236,SL,112.616,20.0,USDJPY
2017-03-14 20:00:00,long,-0.19200000000000217,Tmax,114.839,24.0,USDJPY
2017-08-03 16:00:00,short,0.4819999999999902,Tmax,110.428,24.0,USDJPY
2017-08-08 12:00:00,short,-0.3619642857142884,SL,110.326,0.0,USDJPY
2017-08-17 08:00:00,short,-0.4898928571428576,SL,109.87899999999999,4.0,USDJPY
2017-08-18 16:00:00,short,0.7099999999999989,Tmax,109.875,24.0,USDJPY
2017-10-18 08:00:00,long,0.6810000000000025,Tmax,112.134,24.0,USDJPY
2017-10-27 08:00:00,long,0.3539999999999901,Tmax,113.78500000000001,24.0,USDJPY
2018-01-21 20:00:00,short,-0.017000000000005004,Tmax,110.67999999999999,60.0,USDJPY
2018-02-06 12:00:00,short,-0.5839642857142826,SL,109.041,12.0,USDJPY
2018-02-08 04:00:00,short,-0.21000000000000285,Tmax,109.336,24.0,USDJPY
2018-02-23 16:00:00,short,0.13300000000000067,Tmax,106.881,24.0,USDJPY
2018-05-10 04:00:00,long,0.3900000000000057,Tmax,109.533,24.0,USDJPY
2018-06-19 00:00:00,long,-0.4156428571428512,SL,110.483,16.0,USDJPY
2018-07-26 20:00:00,long,-0.07000000000000227,SMAbreak,111.217,4.0,USDJPY
2018-08-01 08:00:00,long,0.4689999999999992,Tmax,111.411,24.0,USDJPY
2018-08-16 16:00:00,short,-0.4880714285714254,SL,110.625,24.0,USDJPY
2018-09-19 04:00:00,long,0.365,Tmax,111.953,24.0,USDJPY
2018-10-03 20:00:00,long,0.7748214285714418,TP,113.679,16.0,USDJPY
2018-11-14 04:00:00,long,-0.11699999999999931,Tmax,114.006,24.0,USDJPY
2018-11-14 16:00:00,long,-0.32746428571428,SL,113.918,0.0,USDJPY
2018-11-22 08:00:00,long,-0.08700000000001239,SMAbreak,113.01400000000001,20.0,USDJPY
2018-12-02 20:00:00,long,0.14299999999999158,Tmax,113.61800000000001,48.0,USDJPY
2019-01-23 00:00:00,short,-0.2547142857142808,SL,109.28399999999999,4.0,USDJPY
2019-03-13 16:00:00,long,-0.32917857142856577,SL,111.39,24.0,USDJPY
2019-03-15 04:00:00,long,0.11299999999999046,Tmax,111.537,24.0,USDJPY
2019-03-28 12:00:00,short,-0.38928571428571446,SL,110.17,8.0,USDJPY
2019-04-21 20:00:00,long,-0.09599999999999852,Tmax,112.0,68.0,USDJPY
2019-05-16 04:00:00,short,0.1659999999999877,Tmax,109.62899999999999,24.0,USDJPY
2019-05-17 12:00:00,short,-0.35842857142857043,SL,109.55699999999999,0.0,USDJPY
2019-05-24 12:00:00,short,0.7116071428571512,TP,110.088,24.0,USDJPY
2019-06-07 04:00:00,short,-0.24499999999999944,Tmax,108.231,24.0,USDJPY
2019-06-09 20:00:00,short,-0.31500000000000683,Tmax,108.145,52.0,USDJPY
2019-06-11 08:00:00,short,-0.3389285714285768,SL,108.35,8.0,USDJPY
2019-07-03 16:00:00,short,0.093999999999985,Tmax,107.97699999999999,24.0,USDJPY
2019-07-31 16:00:00,long,0.11099999999999512,Tmax,108.665,24.0,USDJPY
2019-08-21 00:00:00,short,-0.2875000000000034,SL,106.19099999999999,4.0,USDJPY
2019-09-17 04:00:00,long,0.24900000000000033,Tmax,107.866,24.0,USDJPY
2019-09-26 16:00:00,long,0.0839999999999941,Tmax,107.795,24.0,USDJPY
2019-10-18 20:00:00,long,-0.2820000000000056,Tmax,108.643,24.0,USDJPY
2019-11-18 12:00:00,long,-0.25139285714285564,SL,108.83500000000001,8.0,USDJPY
2020-01-08 08:00:00,short,-0.350285714285713,SL,108.30699999999999,24.0,USDJPY
2020-05-03 20:00:00,short,-0.05800000000001603,Tmax,106.68199999999999,56.0,USDJPY
2020-05-14 12:00:00,short,-0.1700000000000108,Tmax,106.94099999999999,24.0,USDJPY
2020-06-24 12:00:00,short,-0.34310714285714483,SL,106.43499999999999,20.0,USDJPY
2020-07-02 08:00:00,short,-0.09800000000000807,slope_exit,107.36099999999999,8.0,USDJPY
2020-08-06 16:00:00,short,-0.11900000000000886,Tmax,105.43499999999999,24.0,USDJPY
2020-08-21 12:00:00,short,-0.019000000000000343,Tmax,105.866,24.0,USDJPY
2020-09-22 12:00:00,short,-0.41232142857142606,SL,104.49799999999999,0.0,USDJPY
2020-11-01 20:00:00,short,-0.04199999999999648,Tmax,104.548,68.0,USDJPY
2020-12-21 08:00:00,short,-0.3275714285714264,SL,103.363,4.0,USDJPY
2020-12-22 12:00:00,short,-0.3486785714285736,SL,103.32799999999999,16.0,USDJPY
2021-02-14 20:00:00,long,0.12299999999998136,Tmax,104.93400000000001,60.0,USDJPY
2021-02-22 08:00:00,long,-0.3339999999999981,SL,105.82600000000001,0.0,USDJPY
2021-03-25 16:00:00,long,0.27600000000000136,Tmax,108.828,24.0,USDJPY
2021-04-05 12:00:00,long,-0.2433571428571446,SL,110.64500000000001,4.0,USDJPY
2021-04-12 08:00:00,long,-0.32596428571428704,SL,109.73,8.0,USDJPY
2021-04-13 04:00:00,long,-0.30710714285714347,SL,109.72200000000001,0.0,USDJPY
2021-05-25 16:00:00,long,-0.2776428571428602,SL,108.967,0.0,USDJPY
2021-06-01 12:00:00,long,-0.2894285714285678,SL,109.64200000000001,0.0,USDJPY
2021-06-03 08:00:00,long,0.003999999999995793,Tmax,109.78,24.0,USDJPY
2021-06-10 16:00:00,long,-0.2594285714285667,SL,109.62700000000001,24.0,USDJPY
2021-06-20 20:00:00,long,-0.02900000000000546,Tmax,110.22200000000001,52.0,USDJPY
2021-06-28 12:00:00,long,-0.23585714285715143,SL,110.82000000000001,12.0,USDJPY
2021-07-05 08:00:00,long,-0.30303571428570764,SL,111.15100000000001,8.0,USDJPY
2021-07-21 12:00:00,short,-0.40932142857142595,SL,109.81899999999999,16.0,USDJPY
2021-08-13 08:00:00,long,-0.22728571428570832,SL,110.426,12.0,USDJPY
2021-09-08 12:00:00,long,0.27599999999998714,Tmax,110.03500000000001,24.0,USDJPY
2021-10-01 04:00:00,long,-0.42378571428572287,SL,111.473,4.0,USDJPY
2021-10-06 16:00:00,long,-0.02300000000000523,Tmax,111.4,24.0,USDJPY
2021-10-28 12:00:00,long,-0.37310714285714597,SL,113.839,16.0,USDJPY
2021-10-31 20:00:00,long,0.34899999999999465,Tmax,113.87700000000001,56.0,USDJPY
2021-12-05 20:00:00,short,0.15899999999999692,Tmax,113.211,52.0,USDJPY
2022-01-26 12:00:00,short,-0.40353571428571855,SL,113.939,20.0,USDJPY
2022-05-17 12:00:00,long,-0.19199999999998796,Tmax,129.498,24.0,USDJPY
2022-07-07 16:00:00,long,0.30700000000000727,Tmax,135.673,24.0,USDJPY
2022-08-11 16:00:00,short,-0.559999999999983,Tmax,132.561,24.0,USDJPY
2022-10-30 20:00:00,long,0.31500000000001704,Tmax,147.487,56.0,USDJPY
2022-11-02 00:00:00,long,-0.8591071428571502,SL,148.124,8.0,USDJPY
2022-11-03 20:00:00,long,0.6210000000000002,Tmax,147.757,24.0,USDJPY
2023-01-26 12:00:00,short,-0.7709999999999957,Tmax,129.681,24.0,USDJPY
2023-03-15 08:00:00,long,-1.292607142857131,SL,134.882,0.0,USDJPY
2023-04-04 16:00:00,short,0.693000000000003,Tmax,132.348,24.0,USDJPY
2023-04-28 08:00:00,long,1.8604464285714373,TP,134.06199999999998,16.0,USDJPY
2023-05-09 12:00:00,long,-0.05399999999998272,Tmax,135.19299999999998,24.0,USDJPY
2023-07-27 00:00:00,short,1.0669999999999982,Tmax,140.901,24.0,USDJPY
