pair,gm,lv,ci_pct,is_best,full_PF,full_n,full_PnL,full_DD,full_hold,IS_PF,IS_n,IS_PnL,OOS_PF,OOS_n,OOS_PnL,OOS_DD,OOS_hold
GBPAUD,2.0,3,15.5,False,0.798,179,-18664,32.59,74.8,0.986,112,-632,0.634,68,-16881,32.59,82.2
GBPAUD,2.0,5,15.5,True,1.057,182,4678,65.7,179.0,3.692,113,39162,0.689,71,-14403,38.38,117.2
GBPAUD,2.0,7,15.5,False,1.601,181,33005,28.81,187.3,1.756,111,22216,1.148,72,4455,26.91,106.7
GBPJPY,1.0,3,12.7,False,0.746,309,-26733,30.67,40.1,0.764,262,-20992,0.507,44,-8793,12.99,31.9
GBPJPY,1.0,5,12.7,False,1.075,336,6871,27.77,65.1,1.091,284,7056,0.793,49,-3122,15.1,44.9
GBPJPY,1.0,7,12.7,False,1.711,374,47314,42.35,94.3,1.463,319,31200,9.99,51,13473,0.0,64.2
GBPJPY,1.5,3,12.7,False,0.958,203,-3370,20.99,65.8,1.011,169,668,0.641,33,-6154,15.25,42.0
GBPJPY,1.5,5,12.7,False,1.559,209,32443,18.77,90.8,1.668,171,30675,0.946,35,-702,12.89,55.3
GBPJPY,1.5,7,12.7,True,3.857,218,75945,26.59,141.4,2.741,182,54649,9.99,35,13806,0.0,77.5
GBPJPY,2.0,3,12.7,False,1.089,157,6458,17.5,90.0,1.038,134,2473,1.138,23,1250,9.06,61.0
GBPJPY,2.0,5,12.7,False,2.946,154,60726,16.99,165.6,2.417,129,45895,9.99,24,12059,0.0,90.0
GBPJPY,2.0,7,12.7,False,2.755,162,64217,36.6,188.7,2.102,138,44990,9.99,24,12059,0.0,90.0
GBPUSD,1.0,3,8.9,False,0.708,273,-22192,25.57,35.1,0.699,191,-15468,0.727,82,-6724,9.63,42.1
GBPUSD,1.0,5,8.9,False,0.863,327,-11126,26.57,34.8,0.695,228,-19385,0.993,99,-179,13.54,27.6
GBPUSD,1.0,7,8.9,False,1.114,351,8099,28.16,39.3,1.08,243,3809,0.866,108,-4148,15.67,28.3
GBPUSD,1.5,3,8.9,False,0.884,204,-7640,14.1,40.4,0.791,147,-10376,0.845,57,-3352,9.3,31.7
GBPUSD,1.5,5,8.9,False,1.115,225,7430,39.29,87.8,1.016,161,791,1.026,64,551,11.64,38.2
GBPUSD,1.5,7,8.9,True,2.839,222,50269,27.33,186.8,10.305,166,51621,0.728,56,-7440,27.33,217.4
GBPUSD,2.0,3,8.9,False,0.961,149,-2237,12.06,50.8,0.863,106,-5919,1.247,43,3681,7.37,43.0
GBPUSD,2.0,5,8.9,False,1.552,158,24216,23.05,157.9,1.426,113,14067,1.092,45,1662,9.88,52.1
GBPUSD,2.0,7,8.9,False,2.821,151,44949,24.69,238.9,7.1,114,44459,0.676,37,-7997,24.69,321.3
NZDJPY,1.0,3,16.1,False,0.649,376,-26706,30.13,38.5,0.596,301,-26019,0.765,75,-3279,7.28,26.8
NZDJPY,1.0,5,16.1,False,1.207,406,10425,12.7,50.7,1.047,327,2170,1.81,79,5662,5.93,47.3
NZDJPY,1.0,7,16.1,False,1.391,425,19108,10.91,65.4,1.328,347,13545,1.298,78,2971,9.97,45.0
NZDJPY,1.5,3,16.1,False,1.046,248,2201,10.91,51.1,0.908,199,-4005,1.835,49,4861,3.82,44.8
NZDJPY,1.5,5,16.1,True,2.217,247,31836,8.39,89.1,1.876,208,22553,5.998,39,7938,1.39,79.9
NZDJPY,1.5,7,16.1,False,1.335,254,15099,22.72,108.4,1.051,211,2355,9.99,43,11398,0.0,105.8
NZDJPY,2.0,3,16.1,False,0.971,188,-1400,11.79,70.0,0.872,152,-5399,1.384,36,2590,4.63,60.1
NZDJPY,2.0,5,16.1,False,1.809,175,24318,9.14,122.8,1.743,148,19691,1.686,27,3218,4.69,90.0
NZDJPY,2.0,7,16.1,False,0.805,173,-13095,30.93,211.2,0.779,143,-12302,22.441,30,9820,0.46,148.2
NZDUSD,1.0,3,6.8,False,0.562,229,-21624,25.15,29.3,0.538,175,-18071,0.653,54,-3554,6.05,23.2
NZDUSD,1.0,5,6.8,False,0.683,253,-15064,17.15,65.2,0.756,202,-8134,0.51,51,-6931,14.16,144.3
NZDUSD,1.0,7,6.8,False,0.849,288,-6953,18.88,68.5,1.108,224,2920,0.477,64,-9873,18.88,120.6
NZDUSD,1.5,3,6.8,False,0.603,171,-19378,23.34,44.3,0.673,135,-11166,0.439,36,-8212,10.97,74.1
NZDUSD,1.5,5,6.8,False,0.679,184,-16410,23.38,79.8,1.172,149,4216,0.223,35,-20626,23.38,128.9
NZDUSD,1.5,7,6.8,False,0.888,196,-4948,27.91,118.8,0.764,152,-9067,1.722,44,4120,5.7,204.2
NZDUSD,2.0,3,6.8,False,0.638,133,-16134,18.2,43.0,0.671,100,-10768,0.548,33,-5366,6.34,40.6
NZDUSD,2.0,5,6.8,False,0.831,141,-7301,19.44,133.1,0.914,107,-2572,0.639,34,-4729,13.08,170.4
NZDUSD,2.0,7,6.8,True,1.405,148,11490,15.35,123.0,1.297,112,6709,1.835,36,4780,5.73,211.8
USDCAD,1.0,3,10.1,False,0.688,221,-16124,19.42,64.2,0.656,209,-17214,,0,0,,
USDCAD,1.0,5,10.1,False,0.876,234,-5960,15.67,76.2,0.843,221,-7300,,0,0,,
USDCAD,1.0,7,10.1,False,0.803,249,-11677,33.33,165.2,0.848,236,-8038,,0,0,,
USDCAD,1.5,3,10.1,False,0.847,155,-6333,13.69,53.5,0.784,148,-8915,,0,0,,
USDCAD,1.5,5,10.1,False,1.148,148,5414,21.17,87.6,1.078,141,2832,,0,0,,
USDCAD,1.5,7,10.1,False,0.836,156,-9139,31.08,285.0,0.891,149,-5386,,0,0,,
USDCAD,2.0,3,10.1,False,1.065,113,1948,8.6,69.7,0.955,106,-1341,,0,0,,
USDCAD,2.0,5,10.1,False,0.84,112,-7426,21.28,138.7,0.769,105,-10715,,0,0,,
USDCAD,2.0,7,10.1,True,1.422,110,13174,31.2,432.2,1.653,103,16231,,0,0,,
USDCHF,1.0,3,7.9,False,0.518,207,-32732,35.36,45.4,0.45,167,-34017,0.531,41,-6325,7.84,52.2
USDCHF,1.0,5,7.9,False,0.618,237,-27660,37.99,86.5,0.543,190,-30103,0.612,47,-5370,10.47,55.2
USDCHF,1.0,7,7.9,False,0.401,248,-69198,78.0,115.1,0.348,199,-70342,0.559,49,-6669,11.77,55.7
USDCHF,1.5,3,7.9,False,0.569,146,-26656,29.29,62.2,0.516,121,-26920,0.616,25,-3876,7.02,88.7
USDCHF,1.5,5,7.9,False,0.488,152,-43786,54.28,149.6,0.447,123,-42614,0.568,29,-5198,8.67,81.5
USDCHF,1.5,7,7.9,False,0.298,156,-103777,122.66,339.3,0.277,126,-94781,0.363,30,-13022,20.45,405.5
USDCHF,2.0,3,7.9,True,0.708,117,-15033,18.34,68.4,0.648,96,-15897,0.684,21,-3152,6.66,103.5
USDCHF,2.0,5,7.9,False,0.525,119,-40283,60.91,280.6,0.453,96,-44462,0.601,23,-4528,8.04,100.3
USDCHF,2.0,7,7.9,False,0.355,121,-79948,97.85,351.4,0.339,98,-70962,0.358,23,-13002,20.24,505.1
USDJPY,1.0,3,8.1,False,0.513,207,-37618,43.31,27.2,0.498,157,-32733,0.595,50,-4886,6.53,31.0
USDJPY,1.0,5,8.1,False,0.494,229,-47463,57.01,94.9,0.448,177,-45636,0.835,52,-1828,9.72,78.9
USDJPY,1.0,7,8.1,False,1.086,250,4493,33.46,72.2,0.884,191,-5899,8.476,59,10391,1.39,92.0
USDJPY,1.5,3,8.1,False,0.584,160,-30109,34.73,38.9,0.573,118,-25524,0.635,42,-4585,6.45,50.4
USDJPY,1.5,5,8.1,False,0.739,169,-17653,37.67,71.5,0.631,130,-23062,0.865,39,-1508,9.78,98.9
USDJPY,1.5,7,8.1,False,0.797,175,-14541,32.56,96.9,0.898,134,-5260,8.461,41,10371,1.39,132.1
USDJPY,2.0,3,8.1,False,0.575,117,-28987,34.23,54.1,0.593,92,-23141,0.488,25,-5847,7.9,89.4
USDJPY,2.0,5,8.1,True,1.268,122,11275,24.59,103.7,0.922,97,-3624,7.319,25,7969,1.26,166.8
USDJPY,2.0,7,8.1,False,1.187,124,8909,34.34,116.9,0.885,99,-5989,7.319,25,7969,1.26,166.8
