pair,entry_time,exit_time,side,pnl_r
GBPJPY,2025-10-02 12:00:00,2025-10-03 01:00:00,-1,-0.5119620096309958
GBPJPY,2025-10-06 04:00:00,2025-10-07 11:00:00,1,0.27903652175194466
GBPJPY,2025-10-07 16:00:00,2025-10-08 18:00:00,1,1.1858358625459426
GBPJPY,2025-10-08 20:00:00,2025-10-09 09:00:00,1,-0.6699241146090279
GBPJPY,2025-11-20 04:00:00,2025-11-20 17:00:00,1,0.43683278793220837
GBPJPY,2025-11-20 20:00:00,2025-11-21 07:00:00,1,-0.8536661039459946
GBPJPY,2025-11-27 00:00:00,2025-11-28 07:00:00,1,-0.4114055019982581
GBPJPY,2025-12-19 20:00:00,2025-12-23 01:00:00,1,-0.13024398262795217
GBPJPY,2026-01-13 04:00:00,2026-01-13 15:00:00,1,-0.512002448743754
GBPJPY,2026-01-13 16:00:00,2026-01-14 09:00:00,1,-0.25569628727708565
GBPJPY,2026-04-09 12:00:00,2026-04-12 23:00:00,1,0.972304513959193
GBPJPY,2026-04-13 16:00:00,2026-04-15 08:00:00,1,0.36004192451122846
CHFJPY,2024-06-11 08:00:00,2024-06-11 12:00:00,1,-1.0165095003993714
CHFJPY,2024-06-19 00:00:00,2024-06-20 07:00:00,1,0.0655025002165686
CHFJPY,2024-07-24 04:00:00,2024-07-24 08:00:00,-1,-0.30844802276702493
CHFJPY,2024-07-24 12:00:00,2024-07-25 11:00:00,-1,0.35076791780578426
CHFJPY,2024-07-31 08:00:00,2024-08-01 06:00:00,-1,-0.026483815748173052
CHFJPY,2024-08-05 04:00:00,2024-08-05 14:00:00,-1,0.1923775011219661
CHFJPY,2024-08-05 16:00:00,2024-08-06 00:00:00,-1,-0.7632330923304187
CHFJPY,2024-09-11 16:00:00,2024-09-12 00:00:00,-1,-0.8707911869340876
CHFJPY,2024-09-13 00:00:00,2024-09-16 12:00:00,-1,0.4659442668290926
CHFJPY,2024-10-04 16:00:00,2024-10-08 07:00:00,1,-0.35316386489435664
CHFJPY,2024-10-11 16:00:00,2024-10-14 07:00:00,1,-0.5266351340580924
CHFJPY,2024-10-23 08:00:00,2024-10-24 04:00:00,1,0.43707255284108626
CHFJPY,2024-10-28 08:00:00,2024-10-28 10:00:00,1,-1.026554679840516
CHFJPY,2024-10-28 16:00:00,2024-10-29 14:00:00,1,-0.4892238902693687
CHFJPY,2024-11-27 04:00:00,2024-11-28 00:00:00,-1,0.3633966999272571
CHFJPY,2024-11-29 04:00:00,2024-12-03 04:00:00,-1,1.4128066982522263
CHFJPY,2025-01-31 00:00:00,2025-01-31 05:00:00,-1,-0.7474624549884337
CHFJPY,2025-02-03 12:00:00,2025-02-03 15:00:00,-1,-0.9033557085809916
CHFJPY,2025-02-06 12:00:00,2025-02-07 08:00:00,-1,1.0574790328103965
CHFJPY,2025-02-07 16:00:00,2025-02-10 08:00:00,-1,-0.5918043578658989
CHFJPY,2025-06-13 12:00:00,2025-06-16 05:00:00,1,0.21637957097576638
CHFJPY,2025-06-20 16:00:00,2025-06-23 14:00:00,1,2.227112461866065
CHFJPY,2025-06-23 16:00:00,2025-06-24 00:00:00,1,-0.8492196400085511
CHFJPY,2025-06-27 16:00:00,2025-06-30 03:00:00,1,-0.8764269869893835
CHFJPY,2025-06-30 20:00:00,2025-07-01 08:00:00,1,-0.77524702243321
CHFJPY,2025-07-07 20:00:00,2025-07-09 17:00:00,1,1.3757191572196341
CHFJPY,2025-07-11 12:00:00,2025-07-14 06:00:00,1,-0.18259605537597556
CHFJPY,2025-07-15 08:00:00,2025-07-16 09:00:00,1,-0.32202582878172237
CHFJPY,2025-10-06 00:00:00,2025-10-06 07:00:00,1,0.19821046565979694
CHFJPY,2025-10-06 08:00:00,2025-10-08 16:00:00,1,1.9547498775506342
CHFJPY,2025-10-23 16:00:00,2025-10-27 07:00:00,1,-0.11930306578411126
CHFJPY,2025-11-12 04:00:00,2025-11-14 13:00:00,1,3.387728435095095
CHFJPY,2025-11-20 20:00:00,2025-11-21 07:00:00,1,-0.9030918727245241
CHFJPY,2025-12-12 04:00:00,2025-12-12 16:00:00,1,-0.5027389594657373
CHFJPY,2025-12-12 20:00:00,2025-12-15 02:00:00,1,-0.9427012447653066
CHFJPY,2025-12-19 16:00:00,2025-12-23 02:00:00,1,-0.10415690412701716
CHFJPY,2026-01-13 04:00:00,2026-01-13 15:00:00,1,-0.5008081099667341
CHFJPY,2026-01-13 16:00:00,2026-01-14 08:00:00,1,-0.5486960348628377
CHFJPY,2026-01-20 12:00:00,2026-01-21 07:00:00,1,-0.12485829349664845
CHFJPY,2026-01-22 20:00:00,2026-01-23 07:00:00,1,-0.3204204053998854
CHFJPY,2026-04-21 16:00:00,2026-04-22 11:00:00,1,-1.0012377092996931
NZDJPY,2024-07-03 16:00:00,2024-07-05 00:00:00,1,-0.7381713993121002
NZDJPY,2024-07-05 20:00:00,2024-07-08 02:00:00,1,-1.0150162604310502
NZDJPY,2024-07-17 12:00:00,2024-07-18 12:00:00,-1,0.35258766364673816
NZDJPY,2024-07-22 08:00:00,2024-07-25 13:00:00,-1,6.567100552286132
NZDJPY,2024-07-25 16:00:00,2024-07-26 08:00:00,-1,-0.22836745791537513
NZDJPY,2024-07-31 08:00:00,2024-08-01 11:00:00,-1,-0.11361979004330099
NZDJPY,2024-08-02 00:00:00,2024-08-02 13:00:00,-1,-0.009664198072499422
NZDJPY,2024-08-02 16:00:00,2024-08-05 07:00:00,-1,2.238182544379548
NZDJPY,2024-08-05 08:00:00,2024-08-05 16:00:00,-1,-0.4359955684321677
NZDJPY,2024-08-05 20:00:00,2024-08-06 00:00:00,-1,-0.9575739188963608
NZDJPY,2024-09-27 00:00:00,2024-09-27 06:00:00,1,-0.5007491440046691
NZDJPY,2024-11-26 00:00:00,2024-11-26 07:00:00,-1,-0.5097587747271365
NZDJPY,2024-11-26 16:00:00,2024-11-27 01:00:00,-1,-0.31540972687099894
NZDJPY,2024-11-27 20:00:00,2024-11-28 08:00:00,-1,-0.6944319467910272
NZDJPY,2024-11-29 04:00:00,2024-12-03 03:00:00,-1,0.9860730675312968
NZDJPY,2024-12-09 04:00:00,2024-12-09 07:00:00,-1,-0.6733713090505431
NZDJPY,2025-02-03 04:00:00,2025-02-03 15:00:00,-1,-0.7881608307939414
NZDJPY,2025-02-03 20:00:00,2025-02-03 23:00:00,-1,-1.0120010335464082
NZDJPY,2025-02-07 16:00:00,2025-02-10 05:00:00,-1,-0.559430354938231
NZDJPY,2025-02-27 16:00:00,2025-02-28 07:00:00,-1,0.5022773754097852
NZDJPY,2025-02-28 20:00:00,2025-03-03 10:00:00,-1,-0.6645605454058362
NZDJPY,2025-03-04 16:00:00,2025-03-04 19:00:00,-1,-1.000400016227688
NZDJPY,2025-04-04 12:00:00,2025-04-07 10:00:00,-1,-0.012912627278098781
NZDJPY,2025-05-13 16:00:00,2025-05-14 08:00:00,1,-0.9149863638836494
NZDJPY,2025-06-11 00:00:00,2025-06-11 03:00:00,1,-1.047858630701104
NZDJPY,2025-08-20 12:00:00,2025-08-21 09:00:00,-1,-0.2807999101820077
NZDJPY,2025-10-01 08:00:00,2025-10-02 01:00:00,-1,-0.8107739651107417
NZDJPY,2025-10-08 00:00:00,2025-10-08 01:00:00,1,-1.0491675096291835
NZDJPY,2025-10-08 12:00:00,2025-10-09 08:00:00,1,-0.18292238124486276
NZDJPY,2025-11-27 16:00:00,2025-11-28 07:00:00,1,-0.687312498091938
NZDJPY,2025-12-09 20:00:00,2025-12-10 02:00:00,1,-0.8481966780804524
NZDJPY,2025-12-22 16:00:00,2025-12-23 05:00:00,1,-0.8180945905684661
NZDJPY,2025-12-24 00:00:00,2025-12-29 00:00:00,1,-0.4361568074664624
NZDJPY,2026-01-13 04:00:00,2026-01-13 13:00:00,1,-0.9066486796613943
NZDJPY,2026-01-13 16:00:00,2026-01-14 10:00:00,1,-0.4528349992953318
NZDJPY,2026-01-20 20:00:00,2026-01-23 07:00:00,1,2.5769947877041908
NZDJPY,2026-03-30 00:00:00,2026-03-30 21:00:00,-1,0.7323472135021294
NZDJPY,2026-03-31 00:00:00,2026-03-31 22:00:00,-1,0.18471911915938471
NZDJPY,2026-04-22 08:00:00,2026-04-23 03:00:00,1,-0.8550068740728486
AUDCAD,2024-07-05 16:00:00,2024-07-09 15:00:00,1,-0.4851072440731723
AUDCAD,2024-07-11 16:00:00,2024-07-16 05:00:00,1,-0.20136335797456267
AUDCAD,2024-07-25 08:00:00,2024-07-26 08:00:00,-1,-0.6014562599046919
AUDCAD,2024-07-31 12:00:00,2024-08-02 12:00:00,-1,-0.9390056314465645
AUDCAD,2024-09-18 08:00:00,2024-09-18 19:00:00,1,-0.6549230173153825
AUDCAD,2024-09-19 00:00:00,2024-09-20 13:00:00,1,0.045430372133797935
AUDCAD,2024-09-26 16:00:00,2024-10-01 13:00:00,1,0.3721512431246663
AUDCAD,2025-01-01 00:00:00,2025-01-01 23:00:00,-1,-0.32421537475947254
AUDCAD,2025-04-04 08:00:00,2025-04-04 13:00:00,-1,0.8583219258363327
AUDCAD,2025-04-04 16:00:00,2025-04-07 10:00:00,-1,-0.34925395143982835
AUDCAD,2025-04-07 16:00:00,2025-04-08 05:00:00,-1,-0.5073722670558646
AUDCAD,2025-07-10 16:00:00,2025-07-14 12:00:00,1,-0.46437053366881975
AUDCAD,2025-09-08 16:00:00,2025-09-15 19:00:00,1,1.2954534653575318
AUDCAD,2025-10-02 08:00:00,2025-10-07 06:00:00,1,-0.7371017007034323
AUDCAD,2026-01-06 08:00:00,2026-01-07 12:00:00,1,0.39389346715625595
AUDCAD,2026-01-07 20:00:00,2026-01-08 13:00:00,1,-0.8165129664942616
AUDCAD,2026-01-22 16:00:00,2026-01-28 09:00:00,1,1.1145131547500735
AUDCAD,2026-01-29 00:00:00,2026-01-29 15:00:00,1,-0.17187488882274807
AUDCAD,2026-02-03 08:00:00,2026-02-04 16:00:00,1,-0.7606485733429501
AUDCAD,2026-04-08 00:00:00,2026-04-09 07:00:00,1,-0.7171212940039348
AUDCAD,2026-04-14 16:00:00,2026-04-16 14:00:00,1,0.03852904072633106
