gate_th,time_max,trail,lot,cd,seg,N,WR,PF,net_R,avg_R,Sharpe,maxDD_pct,ddwin_R,gate_opens
-15%,24,3.0,0.2,0,OOS,16,31.2,0.154,-4.62,-0.289,-1.864,4.2,0.0,6
-15%,24,3.0,0.2,12,IS,35,14.3,0.3,-10.85,-0.31,-2.348,10.47,-2.69,22
-15%,24,3.0,0.2,12,OOS,10,20.0,0.106,-3.61,-0.361,-1.961,4.0,0.0,6
-15%,48,1.5,0.1,0,IS,128,29.7,0.537,-27.08,-0.212,-2.68,27.7,-2.23,22
-15%,48,1.5,0.1,0,OOS,36,25.0,0.247,-15.73,-0.437,-2.429,15.99,0.0,6
-15%,48,1.5,0.1,12,IS,44,34.1,0.85,-2.76,-0.063,-0.395,5.49,1.6,22
-15%,48,1.5,0.1,12,OOS,12,25.0,0.351,-3.36,-0.28,-1.295,4.99,0.0,6
-15%,48,1.5,0.2,0,IS,128,29.7,0.537,-27.08,-0.212,-2.68,27.7,-2.23,22
-15%,48,1.5,0.2,0,OOS,36,25.0,0.247,-15.73,-0.437,-2.429,15.99,0.0,6
-15%,48,1.5,0.2,12,IS,44,34.1,0.85,-2.76,-0.063,-0.395,5.49,1.6,22
-15%,48,1.5,0.2,12,OOS,12,25.0,0.351,-3.36,-0.28,-1.295,4.99,0.0,6
-15%,48,2.0,0.1,0,IS,78,32.1,0.727,-7.89,-0.101,-0.942,10.47,2.84,22
-15%,48,2.0,0.1,0,OOS,29,17.2,0.211,-12.6,-0.435,-2.633,12.27,0.0,6
-15%,48,2.0,0.1,12,IS,40,30.0,0.794,-3.1,-0.078,-0.507,4.49,0.98,22
-15%,48,2.0,0.1,12,OOS,12,25.0,0.334,-3.95,-0.329,-1.569,4.91,0.0,6
-15%,48,2.0,0.2,0,IS,78,32.1,0.727,-7.89,-0.101,-0.942,10.47,2.84,22
-15%,48,2.0,0.2,0,OOS,29,17.2,0.211,-12.6,-0.435,-2.633,12.27,0.0,6
-15%,48,2.0,0.2,12,IS,40,30.0,0.794,-3.1,-0.078,-0.507,4.49,0.98,22
-15%,48,2.0,0.2,12,OOS,12,25.0,0.334,-3.95,-0.329,-1.569,4.91,0.0,6
-15%,48,3.0,0.1,0,IS,51,31.4,0.636,-5.08,-0.1,-1.061,5.71,0.77,22
-15%,48,3.0,0.1,0,OOS,16,31.2,0.154,-4.62,-0.289,-1.864,4.2,0.0,6
-15%,48,3.0,0.1,12,IS,32,18.8,0.369,-8.65,-0.27,-2.11,9.55,-2.97,22
-15%,48,3.0,0.1,12,OOS,10,20.0,0.106,-3.61,-0.361,-1.961,4.0,0.0,6
-15%,48,3.0,0.2,0,IS,51,31.4,0.636,-5.08,-0.1,-1.061,5.71,0.77,22
-15%,48,3.0,0.2,0,OOS,16,31.2,0.154,-4.62,-0.289,-1.864,4.2,0.0,6
-15%,48,3.0,0.2,12,IS,32,18.8,0.369,-8.65,-0.27,-2.11,9.55,-2.97,22
-15%,48,3.0,0.2,12,OOS,10,20.0,0.106,-3.61,-0.361,-1.961,4.0,0.0,6
-15%,72,1.5,0.1,0,IS,128,29.7,0.537,-27.08,-0.212,-2.68,27.7,-2.23,22
-15%,72,1.5,0.1,0,OOS,36,25.0,0.247,-15.73,-0.437,-2.429,15.99,0.0,6
-15%,72,1.5,0.1,12,IS,44,34.1,0.85,-2.76,-0.063,-0.395,5.49,1.6,22
-15%,72,1.5,0.1,12,OOS,12,25.0,0.351,-3.36,-0.28,-1.295,4.99,0.0,6
-15%,72,1.5,0.2,0,IS,128,29.7,0.537,-27.08,-0.212,-2.68,27.7,-2.23,22
-15%,72,1.5,0.2,0,OOS,36,25.0,0.247,-15.73,-0.437,-2.429,15.99,0.0,6
-15%,72,1.5,0.2,12,IS,44,34.1,0.85,-2.76,-0.063,-0.395,5.49,1.6,22
-15%,72,1.5,0.2,12,OOS,12,25.0,0.351,-3.36,-0.28,-1.295,4.99,0.0,6
-15%,72,2.0,0.1,0,IS,78,32.1,0.727,-7.89,-0.101,-0.942,10.47,2.84,22
-15%,72,2.0,0.1,0,OOS,29,17.2,0.211,-12.6,-0.435,-2.633,12.27,0.0,6
-15%,72,2.0,0.1,12,IS,40,30.0,0.794,-3.1,-0.078,-0.507,4.49,0.98,22
-15%,72,2.0,0.1,12,OOS,12,25.0,0.334,-3.95,-0.329,-1.569,4.91,0.0,6
-15%,72,2.0,0.2,0,IS,78,32.1,0.727,-7.89,-0.101,-0.942,10.47,2.84,22
-15%,72,2.0,0.2,0,OOS,29,17.2,0.211,-12.6,-0.435,-2.633,12.27,0.0,6
-15%,72,2.0,0.2,12,IS,40,30.0,0.794,-3.1,-0.078,-0.507,4.49,0.98,22
-15%,72,2.0,0.2,12,OOS,12,25.0,0.334,-3.95,-0.329,-1.569,4.91,0.0,6
-15%,72,3.0,0.1,0,IS,51,31.4,0.636,-5.08,-0.1,-1.061,5.71,0.77,22
-15%,72,3.0,0.1,0,OOS,16,31.2,0.154,-4.62,-0.289,-1.864,4.2,0.0,6
-15%,72,3.0,0.1,12,IS,32,18.8,0.344,-8.93,-0.279,-2.278,9.6,-3.02,22
-15%,72,3.0,0.1,12,OOS,10,20.0,0.106,-3.61,-0.361,-1.961,4.0,0.0,6
-15%,72,3.0,0.2,0,IS,51,31.4,0.636,-5.08,-0.1,-1.061,5.71,0.77,22
-15%,72,3.0,0.2,0,OOS,16,31.2,0.154,-4.62,-0.289,-1.864,4.2,0.0,6
-15%,72,3.0,0.2,12,IS,32,18.8,0.344,-8.93,-0.279,-2.278,9.6,-3.02,22
-15%,72,3.0,0.2,12,OOS,10,20.0,0.106,-3.61,-0.361,-1.961,4.0,0.0,6
-20%,24,1.5,0.1,0,IS,107,29.9,0.536,-22.53,-0.211,-2.519,23.9,-2.49,13
-20%,24,1.5,0.1,0,OOS,22,18.2,0.152,-11.79,-0.536,-6.516,12.05,0.0,1
-20%,24,1.5,0.1,12,IS,38,31.6,0.841,-2.66,-0.07,-0.411,5.46,1.12,13
-20%,24,1.5,0.1,12,OOS,7,28.6,0.491,-1.72,-0.245,-2.196,3.34,0.0,1
-20%,24,1.5,0.2,0,IS,107,29.9,0.536,-22.53,-0.211,-2.519,23.9,-2.49,13
-20%,24,1.5,0.2,0,OOS,22,18.2,0.152,-11.79,-0.536,-6.516,12.05,0.0,1
-20%,24,1.5,0.2,12,IS,38,31.6,0.841,-2.66,-0.07,-0.411,5.46,1.12,13
-20%,24,1.5,0.2,12,OOS,7,28.6,0.491,-1.72,-0.245,-2.196,3.34,0.0,1
-20%,24,2.0,0.1,0,IS,64,32.8,0.833,-3.91,-0.061,-0.528,6.86,3.3,13
