corr_window,z_entry,z_exit,hold_period,tp_mult,sl_mult,n,wins,losses,win_rate,pf,avg_hold,max_dd,gross_profit,gross_loss
90,0.8,0.3,15,2.5,1.5,71,34,37,47.9,0.92,10.4,-0.156908,0.344248,0.374184
90,0.8,0.3,20,2.5,1.5,64,29,35,45.3,0.886,11.5,-0.172268,0.318465,0.359335
90,0.8,0.5,5,2.5,1.5,121,57,64,47.1,0.891,5.5,-0.164221,0.385913,0.432934
90,0.8,0.5,10,2.5,1.5,84,45,39,53.6,0.877,8.1,-0.163649,0.3219,0.367162
90,0.8,0.5,15,2.5,1.5,75,37,38,49.3,0.865,9.1,-0.159286,0.313627,0.362648
90,0.8,0.5,20,2.5,1.5,69,32,37,46.4,0.845,9.9,-0.170631,0.302541,0.358016
90,1.0,0.0,5,2.5,1.5,106,47,59,44.3,0.974,6.0,-0.162525,0.370844,0.380665
90,1.0,0.0,10,2.5,1.5,70,35,35,50.0,1.05,10.1,-0.172371,0.337439,0.321353
90,1.0,0.0,15,2.5,1.5,60,28,32,46.7,0.945,12.7,-0.167673,0.306228,0.324152
90,1.0,0.0,20,2.5,1.5,55,22,33,40.0,0.94,14.4,-0.17426,0.305534,0.324911
90,1.0,0.3,5,2.5,1.5,106,47,59,44.3,0.952,5.8,-0.160092,0.362583,0.380665
90,1.0,0.3,10,2.5,1.5,70,36,34,51.4,0.98,9.3,-0.164545,0.313028,0.319275
90,1.0,0.3,15,2.5,1.5,60,28,32,46.7,0.891,11.2,-0.170333,0.288742,0.324152
90,1.0,0.3,20,2.5,1.5,57,25,32,43.9,0.914,11.9,-0.169063,0.295423,0.323239
90,1.0,0.5,5,2.5,1.5,106,49,57,46.2,0.943,5.5,-0.157702,0.355092,0.376504
90,1.0,0.5,10,2.5,1.5,73,40,33,54.8,0.975,8.3,-0.15743,0.309758,0.317599
90,1.0,0.5,15,2.5,1.5,64,32,32,50.0,0.881,9.6,-0.162118,0.284446,0.322981
90,1.0,0.5,20,2.5,1.5,60,28,32,46.7,0.878,10.4,-0.166458,0.282632,0.322068
90,1.2,0.0,5,2.5,1.5,89,38,51,42.7,0.767,5.9,-0.167019,0.268871,0.350724
90,1.2,0.0,10,2.5,1.5,62,28,34,45.2,0.847,9.5,-0.172404,0.263437,0.31115
90,1.2,0.0,15,2.5,1.5,52,21,31,40.4,0.787,11.5,-0.170654,0.247756,0.314994
90,1.2,0.0,20,2.5,1.5,50,17,33,34.0,0.802,13.0,-0.180307,0.254036,0.31673
90,1.2,0.3,5,2.5,1.5,89,38,51,42.7,0.774,5.8,-0.164586,0.271304,0.350724
90,1.2,0.3,10,2.5,1.5,62,29,33,46.8,0.811,9.0,-0.164578,0.250663,0.309072
90,1.2,0.3,15,2.5,1.5,52,21,31,40.4,0.753,10.8,-0.170882,0.237291,0.314994
90,1.2,0.3,20,2.5,1.5,50,19,31,38.0,0.774,11.7,-0.172482,0.243122,0.314081
90,1.2,0.5,5,2.5,1.5,89,38,51,42.7,0.768,5.7,-0.164586,0.269504,0.350724
90,1.2,0.5,10,2.5,1.5,62,30,32,48.4,0.825,8.6,-0.165933,0.248137,0.300681
90,1.2,0.5,15,2.5,1.5,52,22,30,42.3,0.751,10.2,-0.172237,0.23012,0.306603
90,1.2,0.5,20,2.5,1.5,50,20,30,40.0,0.781,11.1,-0.169572,0.238746,0.30569
90,1.5,0.0,5,2.5,1.5,69,32,37,46.4,0.931,6.0,-0.101347,0.215898,0.231932
90,1.5,0.0,10,2.5,1.5,46,22,24,47.8,1.01,9.9,-0.103099,0.219325,0.217122
90,1.5,0.0,15,2.5,1.5,40,16,24,40.0,0.775,12.3,-0.132277,0.186762,0.241107
90,1.5,0.0,20,2.5,1.5,39,14,25,35.9,0.827,14.1,-0.148639,0.201492,0.243761
90,1.5,0.3,5,2.5,1.5,69,32,37,46.4,0.941,5.9,-0.101347,0.218203,0.231932
90,1.5,0.3,10,2.5,1.5,46,22,24,47.8,0.958,9.6,-0.105759,0.208033,0.217122
90,1.5,0.3,15,2.5,1.5,40,16,24,40.0,0.75,11.8,-0.13464,0.180806,0.241107
90,1.5,0.3,20,2.5,1.5,39,14,25,35.9,0.777,12.9,-0.141452,0.189166,0.24361
90,1.5,0.5,5,2.5,1.5,69,32,37,46.4,0.941,5.9,-0.101347,0.218203,0.231932
90,1.5,0.5,10,2.5,1.5,46,22,24,47.8,0.939,9.6,-0.107114,0.203823,0.217122
90,1.5,0.5,15,2.5,1.5,40,16,24,40.0,0.732,11.7,-0.135995,0.176596,0.241107
90,1.5,0.5,20,2.5,1.5,39,14,25,35.9,0.753,12.8,-0.142807,0.183486,0.24361
90,2.0,0.0,5,2.5,1.5,36,16,20,44.4,1.0,5.8,-0.067193,0.106568,0.106545
90,2.0,0.0,10,2.5,1.5,26,14,12,53.8,1.443,9.9,-0.057025,0.136309,0.094433
90,2.0,0.0,15,2.5,1.5,24,9,15,37.5,0.75,12.8,-0.097834,0.1116,0.148744
90,2.0,0.0,20,2.5,1.5,23,8,15,34.8,0.744,14.3,-0.10564,0.115106,0.154668
90,2.0,0.3,5,2.5,1.5,36,16,20,44.4,1.0,5.8,-0.067193,0.106568,0.106545
90,2.0,0.3,10,2.5,1.5,26,14,12,53.8,1.443,9.9,-0.057025,0.136309,0.094433
90,2.0,0.3,15,2.5,1.5,24,9,15,37.5,0.75,12.8,-0.097834,0.1116,0.148744
90,2.0,0.3,20,2.5,1.5,23,8,15,34.8,0.744,14.3,-0.10564,0.115106,0.154668
90,2.0,0.5,5,2.5,1.5,36,16,20,44.4,1.0,5.8,-0.067193,0.106568,0.106545
90,2.0,0.5,10,2.5,1.5,26,14,12,53.8,1.443,9.9,-0.057025,0.136309,0.094433
90,2.0,0.5,15,2.5,1.5,24,9,15,37.5,0.728,12.7,-0.097834,0.108326,0.148744
90,2.0,0.5,20,2.5,1.5,23,8,15,34.8,0.714,14.2,-0.10564,0.110362,0.154668
120,0.8,0.0,5,2.5,1.5,123,52,71,42.3,0.776,5.9,-0.189712,0.372057,0.479261
120,0.8,0.0,10,2.5,1.5,83,38,45,45.8,0.894,10.0,-0.185434,0.351149,0.392722
120,0.8,0.0,15,2.5,1.5,66,28,38,42.4,0.878,13.0,-0.18753,0.322392,0.36731
120,0.8,0.0,20,2.5,1.5,61,25,36,41.0,0.971,14.2,-0.187424,0.349813,0.360446
120,0.8,0.3,5,2.5,1.5,123,52,71,42.3,0.758,5.8,-0.191937,0.363321,0.479261
120,0.8,0.3,10,2.5,1.5,83,39,44,47.0,0.845,9.1,-0.185434,0.330863,0.391402
120,0.8,0.3,15,2.5,1.5,69,31,38,44.9,0.831,11.1,-0.18753,0.310616,0.373692
120,0.8,0.3,20,2.5,1.5,64,27,37,42.2,0.833,11.9,-0.187424,0.308623,0.37061
