pair,direction,entry_time,exit_time,entry,exit,sl,tp,D,pnl_price,pnl_net,result,bars_held
GBPJPY,LONG,2020-01-16 08:00:00,2020-01-17 08:00:00,143.495,144.3629,142.6271,144.3629,1.136,0.8679,0.8479,TP,24
GBPJPY,SHORT,2020-02-03 16:00:00,2020-02-04 18:00:00,141.255,142.80516,142.80516,139.70484,2.029,-1.55016,-1.57016,SL,26
GBPJPY,SHORT,2020-03-06 09:00:00,2020-03-08 22:00:00,136.935,135.60488,138.26512,135.60488,1.741,1.33012,1.31012,TP,14
GBPJPY,SHORT,2020-04-20 13:00:00,2020-04-21 02:00:00,133.894,133.2637,134.5243,133.2637,0.825,0.6303,0.6103,TP,13
GBPJPY,SHORT,2020-05-13 15:00:00,2020-05-26 09:00:00,130.655,132.58945,132.58945,128.72055,2.532,-1.93445,-1.95445,SL,210
GBPJPY,SHORT,2020-06-18 11:00:00,2020-07-09 07:00:00,133.498,135.67464,135.67464,131.32136,2.849,-2.17664,-2.19664,SL,356
GBPJPY,SHORT,2020-09-17 11:00:00,2020-09-17 12:00:00,135.411,134.60651,136.21549,134.60651,1.053,0.80449,0.78449,TP,1
GBPJPY,LONG,2020-10-01 11:00:00,2020-10-02 04:00:00,136.635,135.65861,135.65861,137.61139,1.278,-0.97639,-0.99639,SL,17
GBPJPY,SHORT,2020-11-18 20:00:00,2020-11-19 00:00:00,137.811,137.53214,138.08986,137.53214,0.365,0.27886,0.25886,TP,4
GBPJPY,LONG,2020-12-01 16:00:00,2020-12-07 08:00:00,139.854,138.64688,138.64688,141.06112,1.58,-1.20712,-1.22712,SL,88
GBPJPY,LONG,2020-12-31 00:00:00,2021-01-04 17:00:00,140.764,139.77844,139.77844,141.74956,1.29,-0.98556,-1.00556,SL,41
GBPJPY,SHORT,2021-01-06 22:00:00,2021-01-06 23:00:00,140.16,140.26772,140.26772,140.05228,0.141,-0.10772,-0.12772,SL,1
GBPJPY,LONG,2021-01-25 03:00:00,2021-01-25 16:00:00,142.215,141.67485,141.67485,142.75515,0.707,-0.54015,-0.56015,SL,13
GBPJPY,SHORT,2021-04-14 01:00:00,2021-04-16 19:00:00,149.586,150.5326,150.5326,148.6394,1.239,-0.9466,-0.9666,SL,66
GBPJPY,LONG,2021-06-16 06:00:00,2021-06-16 07:00:00,155.15,155.34788,154.95212,155.34788,0.259,0.19788,0.17788,TP,1
GBPJPY,LONG,2021-06-24 16:00:00,2021-06-24 20:00:00,154.264,154.49167,154.03633,154.49167,0.298,0.22767,0.20767,TP,4
GBPJPY,SHORT,2021-07-06 14:00:00,2021-07-08 07:00:00,152.662,151.58782,153.73618,151.58782,1.406,1.07418,1.05418,TP,41
GBPJPY,SHORT,2021-07-16 14:00:00,2021-07-19 00:00:00,151.752,151.09878,152.40522,151.09878,0.855,0.65322,0.63322,TP,10
GBPJPY,LONG,2021-07-28 01:00:00,2021-07-29 12:00:00,152.604,153.39398,151.81402,153.39398,1.034,0.78998,0.76998,TP,35
GBPJPY,SHORT,2021-08-19 08:00:00,2021-08-20 06:00:00,150.172,149.23228,151.11172,149.23228,1.23,0.93972,0.91972,TP,22
GBPJPY,LONG,2021-09-01 06:00:00,2021-09-10 07:00:00,151.592,152.45761,150.72639,152.45761,1.133,0.86561,0.84561,TP,169
GBPJPY,SHORT,2021-09-19 21:00:00,2021-09-20 07:00:00,150.87,150.06398,151.67602,150.06398,1.055,0.80602,0.78602,TP,10
GBPJPY,SHORT,2021-10-27 07:00:00,2021-10-27 09:00:00,156.711,155.90192,157.52008,155.90192,1.059,0.80908,0.78908,TP,2
GBPJPY,SHORT,2021-12-01 18:00:00,2021-12-07 04:00:00,149.722,151.02844,151.02844,148.41556,1.71,-1.30644,-1.32644,SL,82
GBPJPY,LONG,2022-01-04 07:00:00,2022-01-04 13:00:00,156.009,156.86926,155.14874,156.86926,1.126,0.86026,0.84026,TP,6
GBPJPY,SHORT,2022-02-17 08:00:00,2022-02-17 10:00:00,156.096,156.67358,156.67358,155.51842,0.756,-0.57758,-0.59758,SL,2
GBPJPY,LONG,2022-02-18 08:00:00,2022-02-18 14:00:00,156.895,156.37472,156.37472,157.41528,0.681,-0.52028,-0.54028,SL,6
GBPJPY,LONG,2022-03-28 01:00:00,2022-03-28 07:00:00,161.491,162.74702,160.23498,162.74702,1.644,1.25602,1.23602,TP,6
GBPJPY,LONG,2022-04-11 01:00:00,2022-04-11 06:00:00,162.351,162.98283,161.71917,162.98283,0.827,0.63183,0.61183,TP,5
GBPJPY,LONG,2022-05-04 19:00:00,2022-05-05 11:00:00,162.866,162.03248,162.03248,163.69952,1.091,-0.83352,-0.85352,SL,16
GBPJPY,SHORT,2022-05-09 15:00:00,2022-05-11 17:00:00,160.31,158.88208,161.73792,158.88208,1.869,1.42792,1.40792,TP,50
GBPJPY,LONG,2022-05-19 15:00:00,2022-05-24 13:00:00,159.799,158.32601,158.32601,161.27199,1.928,-1.47299,-1.49299,SL,70
GBPJPY,SHORT,2022-06-16 09:00:00,2022-06-16 16:00:00,161.332,163.21144,163.21144,159.45256,2.46,-1.87944,-1.89944,SL,7
GBPJPY,LONG,2022-07-13 06:00:00,2022-07-13 07:00:00,163.394,163.04103,163.04103,163.74697,0.462,-0.35297,-0.37297,SL,1
GBPJPY,SHORT,2022-07-25 23:00:00,2022-07-26 01:00:00,164.283,164.69098,164.69098,163.87502,0.534,-0.40798,-0.42798,SL,2
GBPJPY,LONG,2022-08-19 06:00:00,2022-08-19 07:00:00,162.451,162.74361,162.15839,162.74361,0.383,0.29261,0.27261,TP,1
GBPJPY,SHORT,2022-08-23 14:00:00,2022-08-26 10:00:00,161.448,162.10198,162.10198,160.79402,0.856,-0.65398,-0.67398,SL,68
GBPJPY,SHORT,2022-09-02 13:00:00,2022-09-02 14:00:00,161.617,162.28015,162.28015,160.95385,0.868,-0.66315,-0.68315,SL,1
