trades,winrate,pf,total_pips,max_dd_pips,f1,f3,f4,f5,f6b,f6s,score
974,0.419917864476386,1.0858407079644095,485,-350,,2.2,None,40.0,45.0,55.0,14.230165426477795
976,0.41905737704918034,1.0820105820103911,465,-350,,2.2,None,40.0,,,14.165434730192455
841,0.4304399524375743,1.1336116910227279,640,-255,0.004,,None,40.0,40.0,60.0,14.150601108628534
841,0.4304399524375743,1.1336116910227279,640,-255,0.004,,None,30.0,40.0,60.0,14.150601108628534
841,0.4304399524375743,1.1336116910227279,640,-255,0.004,,None,50.0,40.0,60.0,14.150601108628534
841,0.4304399524375743,1.1336116910227279,640,-255,0.004,,None,,40.0,60.0,14.150601108628534
930,0.421505376344086,1.0929368029737745,500,-320,,2.2,None,,40.0,60.0,14.048813368478617
925,0.42162162162162165,1.0934579439250292,500,-320,,2.2,None,50.0,40.0,60.0,14.021543534097292
930,0.4204301075268817,1.088126159554529,475,-350,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",30.0,40.0,60.0,13.951295398951935
923,0.42036836403033584,1.0878504672895162,470,-320,,2.2,None,40.0,40.0,60.0,13.893129303313533
937,0.4183564567769477,1.0788990825686093,430,-310,,2.1,None,,35.0,65.0,13.81646990482454
802,0.43017456359102246,1.1323851203498616,605,-260,,2.3,None,,45.0,55.0,13.79513849799743
929,0.418729817007535,1.0805555555553554,435,-310,,2.1,None,40.0,35.0,65.0,13.790780461266008
932,0.4184549356223176,1.0793357933577343,430,-310,,2.1,None,50.0,35.0,65.0,13.788379573950172
797,0.43036386449184444,1.1332599118940234,605,-260,,2.3,None,50.0,45.0,55.0,13.768749083481152
803,0.42963885429638854,1.1299126637552117,595,-260,,2.3,None,,,,13.756444443085535
948,0.4166666666666667,1.0714285714283776,395,-365,,2.2,None,30.0,45.0,55.0,13.745360998515954
798,0.4298245614035088,1.130769230768982,595,-260,,2.3,None,50.0,,,13.729877322779616
950,0.41578947368421054,1.067567567567375,375,-365,,2.2,None,30.0,,,13.681403909147386
795,0.4289308176100629,1.1266519823786063,575,-260,,2.3,None,40.0,45.0,55.0,13.62575575552571
796,0.42839195979899497,1.124175824175577,565,-260,,2.3,None,40.0,,,13.58726627465212
946,0.4143763213530655,1.061371841155043,340,-415,0.005,2.1,None,30.0,45.0,55.0,13.527204642178766
947,0.4139387539598733,1.0594594594592686,330,-415,0.005,2.1,None,50.0,45.0,55.0,13.495700150630475
947,0.4139387539598733,1.0594594594592686,330,-415,0.005,2.1,None,,45.0,55.0,13.495700150630475
947,0.4139387539598733,1.0594594594592686,330,-415,0.005,2.1,None,40.0,45.0,55.0,13.495700150630475
787,0.42820838627700125,1.1233333333330835,555,-305,0.004,2.1,None,40.0,45.0,55.0,13.49432547427126
787,0.42820838627700125,1.1233333333330835,555,-305,0.004,2.1,None,30.0,45.0,55.0,13.49432547427126
787,0.42820838627700125,1.1233333333330835,555,-305,0.004,2.1,None,50.0,45.0,55.0,13.49432547427126
787,0.42820838627700125,1.1233333333330835,555,-305,0.004,2.1,None,,45.0,55.0,13.49432547427126
815,0.4245398773006135,1.1066098081021094,500,-335,,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",40.0,45.0,55.0,13.411946413167955
897,0.4169453734671126,1.0726577437856457,380,-320,,2.2,None,30.0,40.0,60.0,13.394809857263654
951,0.41219768664563616,1.0518783542037473,290,-445,0.005,2.1,None,30.0,,,13.370921119737517
952,0.4117647058823529,1.0499999999998124,280,-445,0.005,2.1,None,40.0,,,13.34003263070116
952,0.4117647058823529,1.0499999999998124,280,-445,0.005,2.1,None,,,,13.34003263070116
952,0.4117647058823529,1.0499999999998124,280,-445,0.005,2.1,None,50.0,,,13.34003263070116
